0	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	X4.8851361.8851762	.	..1	X8851361.1	X8851762.1	X0	X1	X401	X8851353	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName
ENSMUSG00000000766	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1	chr10	6578578	6578979	10:6578578-6578979	.	.	6578578	6578979	0	1	401	6578572	cluster_3	Distal Intergenic	10	6758506	6979704	221199	1	ENSMUST00000147171	-179527	ENSMUSG00000000766
ENSMUSG00000000766	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1	chr10	6797508	6797909	10:6797508-6797909	.	.	6797508	6797909	0	1	401	6797502	cluster_1	Intron (ENSMUST00000147171/ENSMUSG00000000766, intron 1 of 5)	10	6789099	6849987	60889	1	ENSMUST00000148625	8410	ENSMUSG00000000766
ENSMUSG00000000766	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1	chr10	6846247	6846648	10:6846247-6846648	.	.	6846247	6846648	0	1	401	6846241	cluster_2	Intron (ENSMUST00000147171/ENSMUSG00000000766, intron 3 of 5)	10	6789099	6849987	60889	1	ENSMUST00000148625	57149	ENSMUSG00000000766
ENSMUSG00000000766	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1	chr10	6871411	6871812	10:6871411-6871812	.	.	6871411	6871812	0	1	401	6871405	cluster_1	Intron (ENSMUST00000147171/ENSMUSG00000000766, intron 4 of 5)	10	6789099	6849987	60889	1	ENSMUST00000148625	82313	ENSMUSG00000000766
ENSMUSG00000000794	1293.945429	-0.408983749	0.147771702	0.002090575	0.011184936	Kcnn3	chr3	89603314	89603715	3:89603314-89603715	.	.	89603314	89603715	0	1	401	89603306	cluster_3	Intron (ENSMUST00000000811/ENSMUSG00000000794, intron 2 of 7)	3	89662518	89667582	5065	1	ENSMUST00000124584	-58803	ENSMUSG00000000794
ENSMUSG00000000889	5.918050062	-0.076043	0.332905476	0.17436884	0.334310232	Dbh	chr2	27166075	27166476	2:27166075-27166476	.	.	27166075	27166476	0	1	401	27166073	cluster_3	Promoter (<=1kb)	2	27165233	27183200	17968	1	ENSMUST00000000910	843	ENSMUSG00000000889
ENSMUSG00000001120	3243.243221	0.125788901	0.133257556	0.289604079	0.470327626	Pcbp3	chr10	76778581	76778982	10:76778581-76778982	.	.	76778581	76778982	0	1	401	76778574	cluster_3	Intron (ENSMUST00000001148/ENSMUSG00000001120, intron 11 of 15)	10	76762370	76788422	26053	2	ENSMUST00000173854	9440	ENSMUSG00000001120
ENSMUSG00000001120	3243.243221	0.125788901	0.133257556	0.289604079	0.470327626	Pcbp3	chr10	76866770	76867171	10:76866770-76867171	.	.	76866770	76867171	0	1	401	76866763	cluster_1	Intron (ENSMUST00000001148/ENSMUSG00000001120, intron 2 of 15)	10	76789803	76905862	116060	2	ENSMUST00000171437	38691	ENSMUSG00000001120
ENSMUSG00000001175	61053.57153	-0.107864482	0.068481677	0.145005859	0.2929766	Calm1	chr12	100304079	100304480	12:100304079-100304480	.	.	100304079	100304480	0	1	401	100304078	cluster_3	Intron (ENSMUST00000062957/ENSMUSG00000033530, intron 19 of 19)	12	100205403	100206495	1093	1	ENSMUST00000127300	98677	ENSMUSG00000001175
ENSMUSG00000001270	60173.78622	0.03742876	0.170514314	0.799993237	0.887034817	Ckb	chr12	111646880	111647281	12:111646880-111647281	.	.	111646880	111647281	0	1	401	111646879	cluster_3	Intron (ENSMUST00000075281/ENSMUSG00000007411, intron 14 of 15)	12	111669355	111672338	2984	2	ENSMUST00000001304	25057	ENSMUSG00000001270
ENSMUSG00000001300	3944.085397	-1.170017022	0.11983235	1.59729E-23	5.57098E-21	Efnb2	chr8	8392338	8392739	8:8392338-8392739	.	.	8392338	8392739	0	1	401	8392330	cluster_1	Distal Intergenic	8	8620597	8639363	18767	2	ENSMUST00000152698	246624	ENSMUSG00000001300
ENSMUSG00000001305	451.4794429	0.132982683	0.113640873	0.209641728	0.379188351	Rrp15	chr1	186766445	186766846	1:186766445-186766846	.	.	186766445	186766846	0	1	401	186766444	cluster_3	Distal Intergenic	1	186720978	186749358	28381	2	ENSMUST00000001339	-17088	ENSMUSG00000001305
ENSMUSG00000001424	5523.993074	-0.085278128	0.08726305	0.288686682	0.469403013	Snd1	chr6	28507328	28507729	6:28507328-28507729	.	.	28507328	28507729	0	1	401	28507326	cluster_1	Intron (ENSMUST00000168362/ENSMUSG00000001424, intron 1 of 3)	6	28480359	28935162	454804	1	ENSMUST00000167201	26970	ENSMUSG00000001424
ENSMUSG00000001424	5523.993074	-0.085278128	0.08726305	0.288686682	0.469403013	Snd1	chr6	28753287	28753688	6:28753287-28753688	.	.	28753287	28753688	0	1	401	28753285	cluster_3	Intron (ENSMUST00000164915/ENSMUSG00000001424, intron 14 of 16)	6	28764690	28874987	110298	1	ENSMUST00000171195	-11002	ENSMUSG00000001424
ENSMUSG00000001435	19534.58091	0.152820728	0.158782649	0.26780103	0.447012709	Col18a1	chr10	77093828	77094229	10:77093828-77094229	.	.	77093828	77094229	0	1	401	77093821	cluster_3	Intron (ENSMUST00000081654/ENSMUSG00000001435, intron 3 of 41)	10	77080725	77089428	8704	2	ENSMUST00000156009	-4401	ENSMUSG00000001435
ENSMUSG00000001435	19534.58091	0.152820728	0.158782649	0.26780103	0.447012709	Col18a1	chr10	77202021	77202422	10:77202021-77202422	.	.	77202021	77202422	0	1	401	77202014	cluster_3	Distal Intergenic	10	77052178	77166548	114371	2	ENSMUST00000081654	-35474	ENSMUSG00000001435
ENSMUSG00000001440	12972.26393	-0.264671893	0.069539779	9.39981E-05	0.000827454	Kpnb1	chr11	97192639	97193040	11:97192639-97193040	.	.	97192639	97193040	0	1	401	97192630	cluster_3	Distal Intergenic	11	97159714	97187881	28168	2	ENSMUST00000001479	-4759	ENSMUSG00000001440
ENSMUSG00000001504	22.30673828	-0.280093998	0.395669298	0.130327898	0.272327555	Irx2	chr13	72769200	72769601	13:72769200-72769601	.	.	72769200	72769601	0	1	401	72769193	cluster_3	Distal Intergenic	13	72632597	72633772	1176	1	ENSMUST00000172353	136604	ENSMUSG00000001504
ENSMUSG00000001672	10.18256383	0.093790728	0.308351723	0.490564317	0.658036917	Marveld3	chr8	109965775	109966176	8:109965775-109966176	.	.	109965775	109966176	0	1	401	109965774	cluster_1	Distal Intergenic	8	109952911	109962203	9293	2	ENSMUST00000051430	-3573	ENSMUSG00000001672
ENSMUSG00000001741	269.2806938	-2.069566869	0.226344191	3.12782E-21	8.55036E-19	Il16	chr7	83704307	83704708	7:83704307-83704708	.	.	83704307	83704708	0	1	401	83704299	cluster_2	Intron (ENSMUST00000001792/ENSMUSG00000001741, intron 2 of 18)	7	83722510	83732407	9898	2	ENSMUST00000131916	27699	ENSMUSG00000001741
ENSMUSG00000001774	2027.957226	-0.284135229	0.089184842	0.000887557	0.005497366	Chordc1	chr9	17848099	17848500	9:17848099-17848500	.	.	17848099	17848500	0	1	401	17848098	cluster_3	Distal Intergenic	9	18292267	18314000	21734	1	ENSMUST00000001825	-443767	ENSMUSG00000001774
ENSMUSG00000001774	2027.957226	-0.284135229	0.089184842	0.000887557	0.005497366	Chordc1	chr9	18317137	18317538	9:18317137-18317538	.	.	18317137	18317538	0	1	401	18317136	cluster_3	Distal Intergenic	9	18292267	18314000	21734	1	ENSMUST00000001825	24871	ENSMUSG00000001774
ENSMUSG00000001786	782.6944229	-0.205266522	0.114385577	0.055420699	0.147513857	Fbxo7	chr10	86042748	86043149	10:86042748-86043149	.	.	86042748	86043149	0	1	401	86042740	cluster_3	Promoter (<=1kb)	10	86042452	86046809	4358	1	ENSMUST00000130383	297	ENSMUSG00000001786
ENSMUSG00000001829	3001.77417	-0.020977496	0.099033865	0.786021514	0.878185641	Clpb	chr7	101703126	101703527	7:101703126-101703527	.	.	101703126	101703527	0	1	401	101703125	cluster_3	Intron (ENSMUST00000137214/ENSMUSG00000001829, intron 3 of 5)	7	101683197	101751322	68126	1	ENSMUST00000153473	19930	ENSMUSG00000001829
ENSMUSG00000001833	11872.69559	-0.209256166	0.097394905	0.023827305	0.077704747	Sept7	chr9	25243601	25244002	9:25243601-25244002	.	.	25243601	25244002	0	1	401	25243599	cluster_3	Distal Intergenic	9	25252439	25308571	56133	1	ENSMUST00000115272	-8437	ENSMUSG00000001833
ENSMUSG00000001946	17.87604889	0.033805937	0.287106077	0.813831338	0.895311841	Esam	chr9	37517216	37517617	9:37517216-37517617	.	.	37517216	37517617	0	1	401	37517213	cluster_3	Exon (ENSMUST00000048604/ENSMUSG00000042138, exon 2 of 4)	9	37528078	37538319	10242	1	ENSMUST00000002011	-10461	ENSMUSG00000001946
ENSMUSG00000001948	506.640983	0.825664736	0.279868225	0.000328787	0.002376214	Spa17	chr9	37609769	37610170	9:37609769-37610170	.	.	37609769	37610170	0	1	401	37609766	cluster_1	Intron (ENSMUST00000002013/ENSMUSG00000001948, intron 2 of 4)	9	37603295	37613720	10426	2	ENSMUST00000002013	3550	ENSMUSG00000001948
ENSMUSG00000002076	24.41208318	-0.231771669	0.356785433	0.170745351	0.329612339	Hsf2bp	chr17	31998391	31998792	17:31998391-31998792	.	.	31998391	31998792	0	1	401	31998388	cluster_1	Intron (ENSMUST00000002145/ENSMUSG00000002076, intron 6 of 7)	17	31946328	32013403	67076	2	ENSMUST00000133308	14611	ENSMUSG00000002076
ENSMUSG00000002107	15737.4899	-0.541666917	0.133016311	1.14944E-05	0.000136616	Celf2	chr2	6667591	6667992	2:6667591-6667992	.	.	6667591	6667992	0	1	401	6667585	cluster_3	Intron (ENSMUST00000100429/ENSMUSG00000002107, intron 1 of 11)	2	6607882	6616180	8299	2	ENSMUST00000148321	-51412	ENSMUSG00000002107
ENSMUSG00000002221	1601.392412	-0.143730405	0.101879797	0.130285139	0.272266331	Paxip1	chr5	27717308	27717709	5:27717308-27717709	.	.	27717308	27717709	0	1	401	27717306	cluster_3	Intron (ENSMUST00000071500/ENSMUSG00000061576, intron 20 of 25)	5	27740667	27791339	50673	2	ENSMUST00000002291	73630	ENSMUSG00000002221
ENSMUSG00000002222	4596.812912	-0.391702003	0.099404621	3.61161E-05	0.000368242	Rmnd5a	chr6	71459503	71459904	6:71459503-71459904	.	.	71459503	71459904	0	1	401	71459496	cluster_3	Distal Intergenic	6	71388634	71440637	52004	2	ENSMUST00000002292	-18867	ENSMUSG00000002222
ENSMUSG00000002280	970.9330959	0.100219521	0.111125826	0.336572492	0.519050149	Narfl	chr17	25765905	25766306	17:25765905-25766306	.	.	25765905	25766306	0	1	401	25765903	cluster_3	Distal Intergenic	17	25773776	25782791	9016	1	ENSMUST00000134108	-7470	ENSMUSG00000002280
ENSMUSG00000002324	619.3247416	-0.027805575	0.236061254	0.861361966	0.925048124	Rec8	chr14	55615368	55615769	14:55615368-55615769	.	.	55615368	55615769	0	1	401	55615363	cluster_1	Promoter (2-3kb)	14	55618037	55625395	7359	1	ENSMUST00000002395	-2268	ENSMUSG00000002324
ENSMUSG00000002346	1499.759101	0.036045813	0.156413586	0.793248802	0.88309009	Slc25a42	chr8	70200050	70200451	8:70200050-70200451	.	.	70200050	70200451	0	1	401	70200043	cluster_1	Intron (ENSMUST00000063788/ENSMUSG00000002346, intron 1 of 8)	8	70184340	70212256	27917	2	ENSMUST00000063788	11805	ENSMUSG00000002346
ENSMUSG00000002489	1962.285446	0.311591482	0.233860619	0.081039952	0.194645389	Tiam1	chr16	89867269	89867670	16:89867269-89867670	.	.	89867269	89867670	0	1	401	89867261	cluster_3	Exon (ENSMUST00000002588/ENSMUSG00000002489, exon 22 of 28)	16	89787111	89857817	70707	2	ENSMUST00000114122	-9453	ENSMUSG00000002489
ENSMUSG00000002489	1962.285446	0.311591482	0.233860619	0.081039952	0.194645389	Tiam1	chr16	89921397	89921798	16:89921397-89921798	.	.	89921397	89921798	0	1	401	89921389	cluster_1	Promoter (2-3kb)	16	89898421	89918985	20565	2	ENSMUST00000139544	-2413	ENSMUSG00000002489
ENSMUSG00000002489	1962.285446	0.311591482	0.233860619	0.081039952	0.194645389	Tiam1	chr16	89936557	89936958	16:89936557-89936958	.	.	89936557	89936958	0	1	401	89936549	cluster_3	Intron (ENSMUST00000002588/ENSMUSG00000002489, intron 2 of 27)	16	89898421	89918985	20565	2	ENSMUST00000139544	-17573	ENSMUSG00000002489
ENSMUSG00000002602	3077.229274	-0.425371628	0.087614925	4.34035E-07	7.65484E-06	Axl	chr7	25782728	25783129	7:25782728-25783129	.	.	25782728	25783129	0	1	401	25782726	cluster_1	Intron (ENSMUST00000002677/ENSMUSG00000002602, intron 4 of 19)	7	25778680	25787066	8387	2	ENSMUST00000147680	3937	ENSMUSG00000002602
ENSMUSG00000002688	1139.64994	0.037143643	0.163328107	0.794562923	0.884163781	Prkd1	chr12	50341695	50342096	12:50341695-50342096	.	.	50341695	50342096	0	1	401	50341690	cluster_1	Exon (ENSMUST00000002765/ENSMUSG00000002688, exon 1 of 19)	12	50341231	50649223	307993	2	ENSMUST00000002765	307127	ENSMUSG00000002688
ENSMUSG00000002845	568.3961154	0.045469901	0.127383249	0.695150819	0.818283731	Tmem39a	chr16	38629738	38630139	16:38629738-38630139	.	.	38629738	38630139	0	1	401	38629735	cluster_3	Intron (ENSMUST00000023487/ENSMUSG00000022799, intron 3 of 11)	16	38588039	38591306	3268	1	ENSMUST00000165140	41700	ENSMUSG00000002845
ENSMUSG00000002930	18.19990581	0.422191488	0.414820008	0.057527338	0.151466943	Ppp1r17	chr6	56168699	56169100	6:56168699-56169100	.	.	56168699	56169100	0	1	401	56168694	cluster_3	Intron (ENSMUST00000044505/ENSMUSG00000004347, intron 7 of 18)	6	56017515	56032688	15174	1	ENSMUST00000052827	151185	ENSMUSG00000002930
ENSMUSG00000003279	5217.042975	-0.380966679	0.172567576	0.010527778	0.041176801	Dlgap1	chr17	70004647	70005048	17:70004647-70005048	.	.	70004647	70005048	0	1	401	70004640	cluster_3	Intron (ENSMUST00000133983/ENSMUSG00000003279, intron 1 of 13)	17	69969421	70594408	624988	1	ENSMUST00000130971	35227	ENSMUSG00000003279
ENSMUSG00000003279	5217.042975	-0.380966679	0.172567576	0.010527778	0.041176801	Dlgap1	chr17	70248433	70248834	17:70248433-70248834	.	.	70248433	70248834	0	1	401	70248426	cluster_2	Intron (ENSMUST00000133983/ENSMUSG00000003279, intron 2 of 13)	17	70424794	70819804	395011	1	ENSMUST00000155016	-175960	ENSMUSG00000003279
ENSMUSG00000003279	5217.042975	-0.380966679	0.172567576	0.010527778	0.041176801	Dlgap1	chr17	70437258	70437659	17:70437258-70437659	.	.	70437258	70437659	0	1	401	70437251	cluster_1	Intron (ENSMUST00000133983/ENSMUSG00000003279, intron 4 of 13)	17	70424794	70819804	395011	1	ENSMUST00000155016	12465	ENSMUSG00000003279
ENSMUSG00000003410	10686.19445	-0.858725691	0.169667072	4.819E-08	1.0892E-06	Elavl3	chr9	22061378	22061779	9:22061378-22061779	.	.	22061378	22061779	0	1	401	22061376	cluster_3	Intron (ENSMUST00000043922/ENSMUSG00000038895, intron 3 of 8)	9	22015005	22052023	37019	2	ENSMUST00000003501	-9356	ENSMUSG00000003410
ENSMUSG00000003411	2964.946759	0.433808699	0.170175542	0.003272549	0.016083671	Rab3b	chr4	108890883	108891284	4:108890883-108891284	.	.	108890883	108891284	0	1	401	108890882	cluster_3	Promoter (<=1kb)	4	108890290	108941188	50899	1	ENSMUST00000003502	594	ENSMUSG00000003411
ENSMUSG00000003948	3930.306101	-0.265398414	0.104910171	0.00730278	0.030789482	Mmd	chr11	90198122	90198523	11:90198122-90198523	.	.	90198122	90198523	0	1	401	90198113	cluster_1	Intron (ENSMUST00000153734/ENSMUSG00000003948, intron 1 of 1)	11	90187686	90228088	40403	1	ENSMUST00000124877	10437	ENSMUSG00000003948
ENSMUSG00000003974	422.5026024	-0.130659378	0.225678377	0.433973412	0.610397345	Grm3	chr5	9718153	9718554	5:9718153-9718554	.	.	9718153	9718554	0	1	401	9718144	cluster_1	Intron (ENSMUST00000004076/ENSMUSG00000003974, intron 1 of 5)	5	9485236	9725352	240117	2	ENSMUST00000004076	6798	ENSMUSG00000003974
ENSMUSG00000004031	3223.409899	-0.605074579	0.240403436	0.001917727	0.01042767	Brinp2	chr1	158310547	158310948	1:158310547-158310948	.	.	158310547	158310948	0	1	401	158310546	cluster_1	Intron (ENSMUST00000004133/ENSMUSG00000004031, intron 1 of 7)	1	158245271	158356260	110990	2	ENSMUST00000004133	45312	ENSMUSG00000004031
ENSMUSG00000004105	2783.261876	0.478346859	0.159950291	0.000602989	0.003983629	Angptl2	chr2	33269093	33269494	2:33269093-33269494	.	.	33269093	33269494	0	1	401	33269090	cluster_2	Intron (ENSMUST00000042615/ENSMUSG00000038831, intron 6 of 16)	2	33216098	33230124	14027	1	ENSMUST00000139148	52996	ENSMUSG00000004105
ENSMUSG00000004113	5817.585167	-0.659528522	0.211506264	0.000298207	0.002185517	Cacna1b	chr2	24750123	24750524	2:24750123-24750524	.	.	24750123	24750524	0	1	401	24750121	cluster_2	Intron (ENSMUST00000070864/ENSMUSG00000004113, intron 3 of 45)	2	24606375	24763047	156673	2	ENSMUST00000100348	12523	ENSMUSG00000004113
ENSMUSG00000004347	369.6873147	0.179983389	0.246652669	0.290204394	0.471075645	Pde1c	chr6	56422923	56423324	6:56422923-56423324	.	.	56422923	56423324	0	1	401	56422918	cluster_1	Distal Intergenic	6	56100446	56369634	269189	2	ENSMUST00000166890	-53290	ENSMUSG00000004347
ENSMUSG00000004364	5067.441171	0.021016577	0.104384798	0.832717379	0.906899834	Cul3	chr1	80260440	80260841	1:80260440-80260841	.	.	80260440	80260841	0	1	401	80260432	cluster_3	Distal Intergenic	1	80267242	80276566	9325	2	ENSMUST00000167794	15725	ENSMUSG00000004364
ENSMUSG00000004366	1148.729003	1.107082543	0.169190633	5.99757E-12	3.11889E-10	Sst	chr16	23868141	23868542	16:23868141-23868542	.	.	23868141	23868542	0	1	401	23868139	cluster_3	Distal Intergenic	16	23889581	23890844	1264	2	ENSMUST00000004480	22302	ENSMUSG00000004366
ENSMUSG00000004455	2037.083178	-0.432858025	0.079417043	1.98544E-08	4.88014E-07	Ppp1cc	chr5	122179693	122180094	5:122179693-122180094	.	.	122179693	122180094	0	1	401	122179692	cluster_3	Distal Intergenic	5	122172732	122174675	1944	1	ENSMUST00000134719	6962	ENSMUSG00000004455
ENSMUSG00000004530	7666.969813	0.215187388	0.133102284	0.075664194	0.184767139	Coro1c	chr5	113859080	113859481	5:113859080-113859481	.	.	113859080	113859481	0	1	401	113859079	cluster_3	Promoter (<=1kb)	5	113848612	113858774	10163	2	ENSMUST00000168493	-307	ENSMUSG00000004530
ENSMUSG00000004530	7666.969813	0.215187388	0.133102284	0.075664194	0.184767139	Coro1c	chr5	113910359	113910760	5:113910359-113910760	.	.	113910359	113910760	0	1	401	113910358	cluster_3	Promoter (1-2kb)	5	113842436	113908758	66323	2	ENSMUST00000004646	-1602	ENSMUSG00000004530
ENSMUSG00000004535	7734.825737	0.22470738	0.075223028	0.001916096	0.010422756	Tax1bp1	chr6	52758014	52758415	6:52758014-52758415	.	.	52758014	52758415	0	1	401	52758009	cluster_3	Promoter (<=1kb)	6	52757475	52758825	1351	1	ENSMUST00000149586	540	ENSMUSG00000004535
ENSMUSG00000004837	16.86653159	0.076879339	0.304543889	0.557389696	0.7139849	Grap	chr11	61644817	61645218	11:61644817-61645218	.	.	61644817	61645218	0	1	401	61644811	cluster_3	Distal Intergenic	11	61653265	61672784	19520	1	ENSMUST00000004959	-8047	ENSMUSG00000004837
ENSMUSG00000005043	990.5221232	-0.003790752	0.180059005	0.980682003	0.98998484	Sgsh	chr11	119340640	119341041	11:119340640-119341041	.	.	119340640	119341041	0	1	401	119340639	cluster_3	Exon (ENSMUST00000106250/ENSMUSG00000013483, exon 20 of 23)	11	119346418	119347861	1444	2	ENSMUST00000126132	6820	ENSMUSG00000005043
ENSMUSG00000005102	1035.49228	-0.283008789	0.16348154	0.047578646	0.131323296	Eif2ak4	chr2	118404329	118404730	2:118404329-118404730	.	.	118404329	118404730	0	1	401	118404328	cluster_3	Intron (ENSMUST00000110877/ENSMUSG00000005102, intron 2 of 10)	2	118412346	118475234	62889	1	ENSMUST00000110870	-7616	ENSMUSG00000005102
ENSMUSG00000005124	1119.108615	-0.393042642	0.192457231	0.014632416	0.053151218	Wisp1	chr15	66878298	66878699	15:66878298-66878699	.	.	66878298	66878699	0	1	401	66878292	cluster_1	Distal Intergenic	15	66891320	66923201	31882	1	ENSMUST00000005255	-12621	ENSMUSG00000005124
ENSMUSG00000005220	1.690226009	0.000226383	0.328412293	0.971959349	0	Corin	chr5	72389819	72390220	5:72389819-72390220	.	.	72389819	72390220	0	1	401	72389812	cluster_3	Intron (ENSMUST00000167460/ENSMUSG00000005220, intron 5 of 21)	5	72358384	72380288	21905	2	ENSMUST00000176439	-9532	ENSMUSG00000005220
ENSMUSG00000005268	114.3755738	-2.043744717	0.323367218	8.01423E-12	4.03418E-10	Prlr	chr15	10133779	10134180	15:10133779-10134180	.	.	10133779	10134180	0	1	401	10133778	cluster_1	Distal Intergenic	15	10177238	10329388	152151	1	ENSMUST00000005400	-43058	ENSMUSG00000005268
ENSMUSG00000005417	14055.89196	-0.106865931	0.086031655	0.196698982	0.362817881	Mprip	chr11	59717664	59718065	11:59717664-59718065	.	.	59717664	59718065	0	1	401	59717659	cluster_3	Intron (ENSMUST00000138234/ENSMUSG00000005417, intron 3 of 3)	11	59727681	59776602	48922	1	ENSMUST00000133861	-9616	ENSMUSG00000005417
ENSMUSG00000005506	6348.999167	0.043163062	0.109157963	0.673851993	0.803411636	Celf1	chr2	90963274	90963675	2:90963274-90963675	.	.	90963274	90963675	0	1	401	90963265	cluster_3	Promoter (1-2kb)	2	90965092	90987816	22725	1	ENSMUST00000133657	-1417	ENSMUSG00000005506
ENSMUSG00000005533	2987.357764	-0.532839826	0.119700892	2.04576E-06	3.06318E-05	Igf1r	chr7	67907767	67908168	7:67907767-67908168	.	.	67907767	67908168	0	1	401	67907761	cluster_1	Distal Intergenic	7	67952859	68226780	273922	1	ENSMUST00000005671	-44691	ENSMUSG00000005533
ENSMUSG00000005583	3030.109504	-0.203417723	0.200841227	0.207133272	0.375995958	Mef2c	chr13	82902070	82902471	13:82902070-82902471	.	.	82902070	82902471	0	1	401	82902062	cluster_1	Distal Intergenic	13	83504034	83667079	163046	1	ENSMUST00000005722	-601563	ENSMUSG00000005583
