Protein names	Gene names	PEP	log2 H/L Sample HA_IP
Cytochrome b-c1 complex subunit 2, mitochondrial	Uqcrc2	1,02E-78	3,235687819
Heat shock 70 kDa protein 1-like	Hspa1l	6,33E-162	1,17049137
Aspartyl aminopeptidase	Dnpep	2,05E-72	1,015578351
Dihydropyrimidinase-related protein 3	Dpysl3	1,22E-50	0,923851403
Leucine-rich repeat-containing protein 59	Lrrc59	5,47E-155	6,318469775
Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1	2,55E-75	6,310661473
Heterogeneous nuclear ribonucleoprotein A3	Hnrnpa3	7,72E-68	5,820514428
40S ribosomal protein S2	"Rps2;Gm5786;Gm6576;Gm18025"	5,14E-215	5,74058649
Eukaryotic translation initiation factor 2 subunit 1	Eif2s1	1,25E-84	5,49018054
DnaJ homolog subfamily A member 3, mitochondrial	Dnaja3	9,88E-77	5,428115476
Y-box-binding protein 3	Ybx3	1,89E-103	5,202638327
A-kinase anchor protein 8	Akap8	1,99E-28	5,084266487
Centrosomal protein of 170 kDa	Cep170	4,12E-42	4,627395528
Ankyrin repeat domain-containing protein 17	Ankrd17	8,20E-36	4,463899342
Replication factor C subunit 4	Rfc4	1,14E-49	4,455170426
FACT complex subunit SPT16	"Supt16h;Supt16"	3,43E-59	4,353402295
RNA polymerase II-associated protein 3	Rpap3	1,64E-52	4,271071209
Structural maintenance of chromosomes flexible hinge domain-containing protein 1	Smchd1	3,04E-57	4,26670467
Ribosome biogenesis protein BOP1	Bop1	4,76E-46	4,209321365
	Qars	6,94E-52	3,898231609
"DNA polymerase delta catalytic subunit;DNA polymerase"	Pold1	6,22E-40	3,643333308
Clathrin heavy chain 1	Cltc	8,02E-37	3,422520414
Far upstream element-binding protein 2	Khsrp	5,78E-62	2,308501568
Triosephosphate isomerase	Tpi1	1,15E-104	0,798943332
S-methyl-5-thioadenosine phosphorylase	Mtap	9,19E-58	0,770855105
"60S ribosomal protein L10;60S ribosomal protein L10-like"	"Rpl10;Rpl10l"	2,90E-41	6,10909732
60S ribosomal protein L18	Rpl18	1,21E-205	6,051698188
DnaJ homolog subfamily B member 12	Dnajb12	1,23E-97	5,657554485
Polymerase delta-interacting protein 3	Poldip3	2,12E-111	5,530689133
Sister chromatid cohesion protein PDS5 homolog B	Pds5b	3,41E-42	5,353608742
ATP-dependent RNA helicase Dhx29	Dhx29	1,04E-52	5,30997453
Replication factor C subunit 1	Rfc1	2,18E-48	4,825291906
Protein LYRIC	Mtdh	1,01E-69	4,538278675
Sister chromatid cohesion protein PDS5 homolog A	Pds5a	1,57E-33	4,174829837
GTP-binding protein 1	Gtpbp1	5,57E-56	4,046682605
Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	Dhx15	1,89E-66	3,97687242
General transcription factor IIF subunit 1	Gtf2f1	1,43E-38	3,889588645
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	Plod3	2,27E-55	3,818314763
Eukaryotic translation initiation factor 3 subunit B	Eif3b	9,60E-52	3,717439209
Asparagine--tRNA ligase, cytoplasmic	Nars	2,78E-52	3,456199277
Clustered mitochondria protein homolog	Cluh	8,92E-35	3,435588661
La-related protein 4	Larp4	5,49E-70	2,74178261
BAG family molecular chaperone regulator 3	Bag3	7,17E-55	2,351074441
Alpha-actinin-4	Actn4	2,58E-38	1,598325849
Cullin-associated NEDD8-dissociated protein 1	Cand1	1,31E-60	1,435924305
Nuclear pore complex protein Nup155	Nup155	6,47E-65	1,361898352
Aldehyde dehydrogenase, mitochondrial	Aldh2	9,14E-64	1,290921152
D-3-phosphoglycerate dehydrogenase	Phgdh	5,75E-127	1,155887565
"Glucose-6-phosphate 1-dehydrogenase X;Glucose-6-phosphate 1-dehydrogenase"	G6pdx	1,47E-79	0,825107864
Ketosamine-3-kinase	Fn3krp	5,42E-41	0,618805241
	Slc25a1	1,12E-26	6,368372297
60S ribosomal protein L8	Rpl8	3,70E-49	6,014103247
"Ribosomal protein;60S ribosomal protein L10a"	Rpl10a	1,58E-77	5,933507084
Histone H1.4	Hist1h1e	2,07E-52	5,705683333
NACHT, LRR and PYD domains-containing protein 4C	Nlrp4c	4,64E-71	5,57154455
Probable ATP-dependent RNA helicase DDX56	Ddx56	6,05E-73	5,435838435
Serine-threonine kinase receptor-associated protein	Strap	7,92E-51	5,271962828
RNA-binding protein 39	Rbm39	2,38E-78	5,219256528
RNA-binding protein NOB1	Nob1	9,46E-42	5,033486842
Nucleolar GTP-binding protein 2	Gnl2	2,98E-28	5,022988305
ATP-binding cassette sub-family F member 1	Abcf1	2,40E-72	5,011727597
U5 small nuclear ribonucleoprotein 200 kDa helicase	Snrnp200	6,64E-23	4,964477434
AP-2 complex subunit alpha-2	Ap2a2	7,74E-34	4,851167392
Splicing factor 3B subunit 1	Sf3b1	1,90E-33	4,835924305
Putative RNA-binding protein Luc7-like 2	Luc7l2	2,35E-73	4,796701101
"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma;Lamina-associated polypeptide 2, isoforms alpha/zeta"	Tmpo	1,11E-76	4,761017534
Protein PRRC2A	Prrc2a	3,12E-23	4,754888945
Signal recognition particle receptor subunit alpha	Srpr	3,67E-49	4,610274611
	Parp1	9,18E-27	4,549045859
"RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1"	"Rbfox2;Rbfox1"	3,94E-98	4,42957593
116 kDa U5 small nuclear ribonucleoprotein component	Eftud2	2,88E-47	4,267843702
Gem-associated protein 5	Gemin5	2,66E-29	4,206202311
Lymphocyte-specific helicase	Hells	1,24E-71	3,928072618
RuvB-like 2	Ruvbl2	4,78E-37	3,744506518
Elongation factor 1-gamma	Eef1g	9,26E-57	3,332178706
26S proteasome non-ATPase regulatory subunit 3	Psmd3	7,14E-43	3,261050622
"60S ribosomal protein L15;Ribosomal protein L15"	"Rpl15;Gm10020"	2,41E-78	3,142926696
AFG3-like protein 1	Afg3l1	1,60E-33	3,114909869
Cytoplasmic FMR1-interacting protein 1	Cyfip1	1,78E-30	2,527408254
Myosin-11	Myh11	2,32E-46	2,39009378
DnaJ homolog subfamily C member 7	Dnajc7	5,90E-44	2,298743726
"Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase"	Aldh18a1	5,40E-29	2,122491311
Protein disulfide-isomerase	P4hb	1,12E-65	1,87922341
Dihydropyrimidinase-related protein 1	Crmp1	4,92E-46	1,535917293
Aconitate hydratase, mitochondrial	Aco2	2,59E-77	1,329377172
Crk-like protein	Crkl	1,03E-41	0,754406984
60S ribosomal protein L31	Rpl31	3,12E-91	6,253848928
60S ribosomal protein L28	Rpl28	1,25E-54	6,072907585
Histone H1.1	Hist1h1a	1,11E-49	5,964612571
Nucleolar protein 16	Nop16	3,85E-34	5,954199196
60S ribosomal protein L14	Rpl14	9,06E-143	5,933683441
Protein CMSS1	Cmss1	4,12E-33	5,908767319
	Ythdf2	3,82E-54	5,870703793
	H1fx	2,92E-59	5,835759501
	"Gm15127;Gm10439;Ott;Gm15097;Gm15107;Gm15091;Luzp4;Gm15080;Gm15093;Gm15114"	4,83E-39	5,657918645
Histone H1.5	Hist1h1b	1,23E-62	5,625934282
"ATP synthase subunit gamma;ATP synthase subunit gamma, mitochondrial"	Atp5c1	9,51E-96	5,469897287
DnaJ homolog subfamily C member 9	Dnajc9	6,88E-26	5,387811716
Lamin-B receptor	Lbr	2,71E-45	5,381603455
28S ribosomal protein S9, mitochondrial	Mrps9	1,63E-60	5,333457897
DNA topoisomerase 1	Top1	4,16E-34	5,026463662
ELAV-like protein 1	Elavl1	3,58E-41	4,990842046
G-rich sequence factor 1	Grsf1	1,95E-85	4,976463589
Nuclear export mediator factor Nemf	Nemf	1,30E-25	4,960563971
Transducin beta-like protein 2	Tbl2	4,75E-48	4,891407299
Lupus La protein homolog	Ssb	4,11E-38	4,800033101
60S ribosomal protein L18a	Rpl18a	3,53E-43	4,799671427
Transcription elongation regulator 1	Tcerg1	5,69E-24	4,633398577
Pre-mRNA-processing factor 19	Prpf19	1,69E-47	4,612319837
Nucleolar protein 9	Nop9	1,41E-127	4,558533518
Mitochondrial 2-oxoglutarate/malate carrier protein	Slc25a11	1,67E-53	4,545773561
AFG3-like protein 2	Afg3l2	1,63E-26	4,535766698
Condensin complex subunit 1	Ncapd2	4,81E-19	4,535733234
	Sf3b2	1,38E-22	4,460846153
Zinc finger CCCH-type antiviral protein 1	Zc3hav1	9,19E-36	4,31665747
Radixin	Rdx	7,73E-51	4,300135699
6-phosphofructokinase, muscle type	Pfkm	1,75E-28	4,290702305
Pescadillo homolog	Pes1	1,92E-30	4,045848367
Transmembrane protein 214	Tmem214	3,80E-37	3,92051607
Splicing factor U2AF 65 kDa subunit	U2af2	3,14E-77	3,89995351
"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2"	Aimp1	1,93E-34	3,887238491
Tudor and KH domain-containing protein	Tdrkh	3,59E-31	3,880147183
Dedicator of cytokinesis protein 7	Dock7	7,88E-20	3,7279338
DNA damage-binding protein 1	Ddb1	5,06E-24	3,722096165
Tight junction protein ZO-1	Tjp1	4,59E-23	3,667675881
	Idh3b	2,21E-33	3,614208955
Leucine-rich repeat-containing protein 47	Lrrc47	1,00E-30	3,566596097
U3 small nucleolar RNA-associated protein 18 homolog	Utp18	1,54E-30	3,444262361
RuvB-like 1	Ruvbl1	3,95E-48	3,444215251
Inosine-5-monophosphate dehydrogenase 2	Impdh2	4,77E-64	2,728430898
GTP-binding nuclear protein Ran	"Ran;1700009N14Rik"	1,05E-39	2,675120287
Baculoviral IAP repeat-containing protein 6	Birc6	7,28E-20	2,077771699
Endoplasmin	Hsp90b1	9,34E-34	1,961676204
Glyceraldehyde-3-phosphate dehydrogenase	"Gapdh;Gm7293;Gm5069"	6,66E-53	1,717334838
Poly(rC)-binding protein 1	Pcbp1	3,31E-129	1,708867988
Fascin	Fscn1	1,01E-31	1,545781985
F-actin-capping protein subunit alpha-2	Capza2	2,47E-43	1,337192933
Cytochrome b-c1 complex subunit 1, mitochondrial	Uqcrc1	1,01E-37	1,32582864
Monofunctional C1-tetrahydrofolate synthase, mitochondrial	Mthfd1l	1,34E-30	1,30821573
