chr	start	end	peakID	baseMean	log2FoldChange	pvalue	padj	geneID	symbol	Annotation_homer	homer_genes
17	34602479	34607580	17_34602479_34607580	572.232868183928	0.449059259232145	1.51654175354862e-05	0.00971619895635919	ENSMUSG00000015478.13	Rnf5	promoter-TSS	ENSMUSG00000034254.17
10	106632603	106634585	10_106632603_106634585	145.50554134851998	-0.8981813391610179	1.52165990909021e-05	0.00971619895635919	ENSMUSG00000053825.15	Ppfia2	intron	ENSMUSG00000053825.15
17	34602479	34607580	17_34602479_34607580	572.232868183928	0.449059259232145	1.51654175354862e-05	0.00971619895635919	ENSMUSG00000034254.17	Agpat1	promoter-TSS	ENSMUSG00000034254.17
10	101681678	101684013	10_101681678_101684013	142.914532402792	-1.03278070893859	1.4942747293704001e-05	0.00971619895635919	ENSMUSG00000019888.16	Mgat4c	intron	ENSMUSG00000019888.16
3	120885302	120886546	3_120885302_120886546	58.6839014918659	-1.49116691415507	1.61583775355586e-05	0.00980167181306986	ENSMUSG00000098097.7	RP24-158L2.1	intron	ENSMUSG00000098097.7
14	31777394	31781876	14_31777394_31781876	337.588714217475	-0.586901324063397	2.15034072614916e-05	0.012422825566496	ENSMUSG00000014496.8	Ankrd28	exon	ENSMUSG00000014496.8
19	61225300	61227923	19_61225300_61227923	422.229406266966	0.491753442584628	2.73932081496175e-05	0.014759707544938	ENSMUSG00000059326.6	Csf2ra	exon	ENSMUSG00000059326.6
12	70108768	70112311	12_70108768_70112311	311.019504714299	-0.5851827580198199	2.7981641405668702e-05	0.014759707544938	ENSMUSG00000021068.16	Nin	intron	ENSMUSG00000021068.16
6	136163616	136173921	6_136163616_136173921	731.3035227891401	-0.38828678922784604	3.13613499942109e-05	0.0158531624220736	ENSMUSG00000030209.14	Grin2b	intron	ENSMUSG00000030209.14
9	21723191	21725567	9_21723191_21725567	278.68008711669603	-0.5780953013091209	4.93819391547822e-05	0.0192368427176374	ENSMUSG00000097155.1	RP23-402N3.5	promoter-TSS	ENSMUSG00000097155.1
9	21723191	21725567	9_21723191_21725567	278.68008711669603	-0.5780953013091209	4.93819391547822e-05	0.0192368427176374	ENSMUSG00000032193.9	Ldlr	promoter-TSS	ENSMUSG00000097155.1
7	109167894	109170682	7_109167894_109170682	185.06341259589803	-0.736888528136034	5.21177473244551e-05	0.0192368427176374	ENSMUSG00000036111.8	Lmo1	intron	ENSMUSG00000036111.8
19	41741292	41743830	19_41741292_41743830	158.499425194625	-0.8498069903478	4.75545826673135e-05	0.0192368427176374	ENSMUSG00000025020.11	Slit1	intron	ENSMUSG00000025020.11
16	55819043	55822503	16_55819043_55822503	341.16024581797996	-0.5225073983284879	4.7199594035468e-05	0.0192368427176374	ENSMUSG00000035356.17	Nfkbiz	intron	ENSMUSG00000035356.17
11	62549872	62554445	11_62549872_62554445	486.496054467927	0.443961192304511	4.0156412781404e-05	0.0192368427176374	ENSMUSG00000087120.1	RP23-234K24.5	exon	ENSMUSG00000019505.7
12	31710069	31713816	12_31710069_31713816	226.45729216954498	-0.676536293158609	4.57695681190002e-05	0.0192368427176374	ENSMUSG00000044067.6	Gpr22	exon	ENSMUSG00000044067.6
12	31710069	31713816	12_31710069_31713816	226.45729216954498	-0.676536293158609	4.57695681190002e-05	0.0192368427176374	ENSMUSG00000035933.5	Cog5	exon	ENSMUSG00000044067.6
5	14025306	14027835	5_14025306_14027835	199.51828706923803	-0.690042897799837	4.72387426143946e-05	0.0192368427176374	ENSMUSG00000063531.7	Sema3e	intron	ENSMUSG00000063531.7
5	14025306	14027835	5_14025306_14027835	199.51828706923803	-0.690042897799837	4.72387426143946e-05	0.0192368427176374	ENSMUSG00000105528.1	RP24-194J1.1	intron	ENSMUSG00000063531.7
11	62549872	62554445	11_62549872_62554445	486.496054467927	0.443961192304511	4.0156412781404e-05	0.0192368427176374	ENSMUSG00000019505.7	Ubb	exon	ENSMUSG00000019505.7
13	21529948	21531233	13_21529948_21531233	132.034947240658	-0.8422784434154742	5.10764790633679e-05	0.0192368427176374	ENSMUSG00000063894.15	Zkscan8	intron	ENSMUSG00000063894.15
6	144207432	144210224	6_144207432_144210224	192.26259040068402	-0.709958409077582	5.23257343951561e-05	0.0192368427176374	ENSMUSG00000041540.16	Sox5	intron	ENSMUSG00000041540.16
2	109692503	109697764	2_109692503_109697764	506.23611527104003	-0.43170932055968897	5.7824744566837595e-05	0.0206332294436727	ENSMUSG00000048482.14	Bdnf	intron	ENSMUSG00000048482.14
7	109173216	109175198	7_109173216_109175198	133.184636275539	-0.8638121790064991	6.439604058919879e-05	0.0223215075550903	ENSMUSG00000036111.8	Lmo1	intron	ENSMUSG00000036111.8
7	90886998	90889224	7_90886998_90889224	110.15794385962201	-0.94057502158885	7.977658158429609e-05	0.0268847079939078	ENSMUSG00000052572.17	Dlg2	promoter-TSS	ENSMUSG00000109431.1
7	90886998	90889224	7_90886998_90889224	110.15794385962201	-0.94057502158885	7.977658158429609e-05	0.0268847079939078	ENSMUSG00000109431.1	RP24-267C3.2	promoter-TSS	ENSMUSG00000109431.1
7	90886998	90889224	7_90886998_90889224	110.15794385962201	-0.94057502158885	7.977658158429609e-05	0.0268847079939078	ENSMUSG00000109125.1	RP24-267C3.3	promoter-TSS	ENSMUSG00000109431.1
14	88463678	88467163	14_88463678_88467163	129.38419080845898	-0.873737878905385	8.20370055661322e-05	0.0268992689602247	ENSMUSG00000050505.7	Pcdh20	exon	ENSMUSG00000050505.7
12	118854278	118855049	12_118854278_118855049	52.943971462552994	1.3137369418708702	9.325332397437858e-05	0.0285906762663651			Intergenic	Intergenic
4	116403302	116406664	4_116403302_116406664	224.660885875676	-0.622025697858994	9.42653355303827e-05	0.0285906762663651	ENSMUSG00000003810.12	Mast2	intron	ENSMUSG00000003810.12
2	21366898	21371489	2_21366898_21371489	283.661684800599	-0.5417475028843111	9.112391649761329e-05	0.0285906762663651	ENSMUSG00000085680.1	RP23-294B13.1	promoter-TSS	ENSMUSG00000085680.1
8	64690204	64693472	8_64690204_64693472	356.270609908456	-0.481128260601305	9.82995797197922e-05	0.029087085394159003	ENSMUSG00000037852.8	Cpe	intron	ENSMUSG00000037852.8
10	29355984	29362868	10_29355984_29362868	423.794927318973	-0.440951639695595	0.00010083720458413599	0.0291275468098747			intron	ENSMUSG00000038876.12
2	118549089	118550069	2_118549089_118550069	118.97331073735	0.8577783551368271	0.000111148606189203	0.0313594160531955	ENSMUSG00000040093.15	Bmf	promoter-TSS	ENSMUSG00000040093.15
11	69670251	69673275	11_69670251_69673275	464.126233433902	0.440361583356858	0.000123815828425098	0.0319602900096445	ENSMUSG00000059796.16	Eif4a1	promoter-TSS	ENSMUSG00000059796.16
11	69670251	69673275	11_69670251_69673275	464.126233433902	0.440361583356858	0.000123815828425098	0.0319602900096445	ENSMUSG00000005204.12	Senp3	promoter-TSS	ENSMUSG00000059796.16
3	114904262	114905640	3_114904262_114905640	82.9504003601367	0.9900625797163509	0.000121998010517578	0.0319602900096445	ENSMUSG00000027965.15	Olfm3	intron	ENSMUSG00000027965.15
5	128951853	128953427	5_128951853_128953427	102.872465269161	-0.937126103278413	0.00011960759267473001	0.0319602900096445	ENSMUSG00000029420.12	Rimbp2	intron	ENSMUSG00000029420.12
11	77981930	77985545	11_77981930_77985545	523.42725471045	0.390291703596412	0.000119174061038043	0.0319602900096445	ENSMUSG00000037791.15	Phf12	intron	ENSMUSG00000037791.15
2	4018258	4020075	2_4018258_4020075	80.6123261177519	-1.04616103024618	0.000130352549323004	0.0329466068413892	ENSMUSG00000026657.16	Frmd4a	exon	ENSMUSG00000026657.16
2	80126568	80130051	2_80126568_80130051	279.586681813872	-0.5257050840075089	0.000133778335096501	0.0331224237018522	ENSMUSG00000059173.19	Pde1a	intron	ENSMUSG00000059173.19
15	98992714	98993410	15_98992714_98993410	82.25082386697491	1.05917999295162	0.00013837066003906398	0.0335742569518785	ENSMUSG00000097587.2	RP23-77H12.1	exon	ENSMUSG00000097587.2
15	80254170	80257638	15_80254170_80257638	451.40528429125396	0.451336552763961	0.00015049339785183302	0.0357997235831067	ENSMUSG00000042406.8	Atf4	exon	ENSMUSG00000042406.8
5	47983198	47989664	5_47983198_47989664	487.83594431559897	-0.443897630462493	0.00017131135156693602	0.0399682561001936	ENSMUSG00000031558.15	Slit2	TTS	ENSMUSG00000031558.15
7	120201089	120201980	7_120201089_120201980	43.1195543205677	-1.45709016321956	0.000176545973056511	0.0399949881390255	ENSMUSG00000030905.5	Crym	intron	ENSMUSG00000030905.5
17	47877068	47878364	17_47877068_47878364	75.2923963636801	-1.0731813836901898	0.000178019235040173	0.0399949881390255	ENSMUSG00000023991.16	Foxp4	TTS	ENSMUSG00000023991.16
8	116992221	116993611	8_116992221_116993611	149.174119678842	-0.7028370671789339	0.000189935465776636	0.0404262644000376	ENSMUSG00000034424.5	Gcsh	intron	ENSMUSG00000034424.5
17	90450738	90456768	17_90450738_90456768	486.573112443449	-0.41503662433201394	0.000187888232083153	0.0404262644000376	ENSMUSG00000024109.18	Nrxn1	TTS	ENSMUSG00000024109.18
17	90450738	90456768	17_90450738_90456768	486.573112443449	-0.41503662433201394	0.000187888232083153	0.0404262644000376	ENSMUSG00000073367.4	Gm10493	TTS	ENSMUSG00000024109.18
9	112229588	112235684	9_112229588_112235684	323.974394148922	-0.477163282541055	0.000184945232286179	0.0404262644000376	ENSMUSG00000032503.18	Arpp21	promoter-TSS	ENSMUSG00000032503.18
17	78508475	78510736	17_78508475_78510736	85.3059493009472	-1.04372928528046	0.00019723929293786598	0.0412570189986585	ENSMUSG00000024076.9	Vit	intron	ENSMUSG00000024076.9
8	83898287	83902709	8_83898287_83902709	457.19919120118203	0.406145165527004	0.00020898722707164	0.0429734413361548	ENSMUSG00000096943.1	Gm26721	promoter-TSS	ENSMUSG00000013033.16
8	83898287	83902709	8_83898287_83902709	457.19919120118203	0.406145165527004	0.00020898722707164	0.0429734413361548	ENSMUSG00000013033.16	Adgrl1	promoter-TSS	ENSMUSG00000013033.16
15	45112404	45115363	15_45112404_45115363	172.128370295821	-0.7582108562166509	0.00022220943357173598	0.0449307474682051	ENSMUSG00000022342.6	Kcnv1	intron	ENSMUSG00000022342.6
5	93091520	93095740	5_93091520_93095740	497.92051908143503	-0.401229470412909	0.00024083323004628	0.0463775991574836	ENSMUSG00000107194.1	RP24-470E5.3	promoter-TSS	ENSMUSG00000058013.11
5	93091520	93095740	5_93091520_93095740	497.92051908143503	-0.401229470412909	0.00024083323004628	0.0463775991574836	ENSMUSG00000058013.11	Sept11	promoter-TSS	ENSMUSG00000058013.11
5	93091520	93095740	5_93091520_93095740	497.92051908143503	-0.401229470412909	0.00024083323004628	0.0463775991574836	ENSMUSG00000107374.1	RP24-470E5.2	promoter-TSS	ENSMUSG00000058013.11
15	81936070	81938264	15_81936070_81938264	228.71305519165	-0.595337484381111	0.000234219979568171	0.0463775991574836	ENSMUSG00000042109.8	Csdc2	exon	ENSMUSG00000042109.8
15	82958233	82961679	15_82958233_82961679	118.32196159625799	-0.7986669794243709	0.00023712013215868702	0.0463775991574836	ENSMUSG00000041852.15	Tcf20	promoter-TSS	ENSMUSG00000092751.1
15	82958233	82961679	15_82958233_82961679	118.32196159625799	-0.7986669794243709	0.00023712013215868702	0.0463775991574836	ENSMUSG00000092751.1	Mir3080	promoter-TSS	ENSMUSG00000092751.1
6	96113715	96115018	6_96113715_96115018	58.3533365482996	-1.1192538385139699	0.000247677309913198	0.0469503300604205	ENSMUSG00000059187.12	Fam19a1	promoter-TSS	ENSMUSG00000059187.12
3	87999584	88000583	3_87999584_88000583	93.89710412243478	-0.8798857557037171	0.000273100639417159	0.050973183960138	ENSMUSG00000004892.13	Bcan	promoter-TSS	ENSMUSG00000004892.13
11	70668066	70669963	11_70668066_70669963	250.345556856377	0.5207267616105279	0.000302907256276231	0.0556798611082309	ENSMUSG00000018287.12	Spag7	TTS	ENSMUSG00000040712.16
11	70668066	70669963	11_70668066_70669963	250.345556856377	0.5207267616105279	0.000302907256276231	0.0556798611082309	ENSMUSG00000040712.16	Camta2	TTS	ENSMUSG00000040712.16
3	127160157	127163348	3_127160157_127163348	255.35550856025398	-0.535237474543801	0.000321149430039283	0.0581520132124862	ENSMUSG00000032826.17	Ank2	exon	ENSMUSG00000032826.17
3	127160157	127163348	3_127160157_127163348	255.35550856025398	-0.535237474543801	0.000321149430039283	0.0581520132124862	ENSMUSG00000097456.7	RP23-50E10.6	exon	ENSMUSG00000032826.17
14	88469024	88471515	14_88469024_88471515	250.14047649904597	-0.5186063514743839	0.00033961997360338903	0.0605921988199459	ENSMUSG00000050505.7	Pcdh20	intron	ENSMUSG00000050505.7
18	35209693	35215999	18_35209693_35215999	406.943747374665	-0.395833661389456	0.00036029295324168997	0.0633489001264953	ENSMUSG00000071862.2	Lrrtm2	exon	ENSMUSG00000071862.2
18	35209693	35215999	18_35209693_35215999	406.943747374665	-0.395833661389456	0.00036029295324168997	0.0633489001264953	ENSMUSG00000037815.6	Ctnna1	exon	ENSMUSG00000071862.2
17	25918044	25920665	17_25918044_25920665	353.365575371791	0.433372861520999	0.000376515252046688	0.0652554719690061	ENSMUSG00000025730.14	Rab40c	exon	ENSMUSG00000084862.1
17	25918044	25920665	17_25918044_25920665	353.365575371791	0.433372861520999	0.000376515252046688	0.0652554719690061	ENSMUSG00000084862.1	RP23-356J2.5	exon	ENSMUSG00000084862.1
17	25918044	25920665	17_25918044_25920665	353.365575371791	0.433372861520999	0.000376515252046688	0.0652554719690061	ENSMUSG00000097518.1	Gm26694	exon	ENSMUSG00000084862.1
17	83629673	83633330	17_83629673_83633330	209.998717655536	-0.54939152871133	0.000392201982677848	0.0655471874816947	ENSMUSG00000045053.1	Kcng3	exon	ENSMUSG00000045053.1
X	162641348	162642785	X_162641348_162642785	60.5877695573149	-1.1342712635292298	0.000394406914454642	0.0655471874816947	ENSMUSG00000040855.15	Reps2	intron	ENSMUSG00000040855.15
6	32582697	32588540	6_32582697_32588540	448.505622473171	-0.405073863697322	0.000385323491230324	0.0655471874816947			intron	ENSMUSG00000029765.12
7	109778865	109782583	7_109778865_109782583	218.111421105524	-0.550717304466511	0.00040460616804158597	0.0663335409551422	ENSMUSG00000034825.14	Nrip3	intron	ENSMUSG00000034825.14
6	77242765	77249985	6_77242765_77249985	414.12479926143897	-0.39877770823526293	0.000452686528955875	0.07041016627298301	ENSMUSG00000063063.12	Ctnna2	TTS	ENSMUSG00000060780.2
8	128357400	128369261	8_128357400_128369261	944.5371995378521	-0.26999449819729604	0.000435487095740393	0.07041016627298301	ENSMUSG00000084523.1	Mir1903	exon	ENSMUSG00000025810.9
9	114560355	114564410	9_114560355_114564410	162.052643115152	-0.6282661697511179	0.000449395831290329	0.07041016627298301			exon	ENSMUSG00000079259.2
17	34116655	34123990	17_34116655_34123990	1129.44094329363	0.24998107433241698	0.00044249851234009504	0.07041016627298301	ENSMUSG00000024335.19	Brd2	promoter-TSS	ENSMUSG00000024335.19
8	128357400	128369261	8_128357400_128369261	944.5371995378521	-0.26999449819729604	0.000435487095740393	0.07041016627298301	ENSMUSG00000025810.9	Nrp1	exon	ENSMUSG00000025810.9
6	77242765	77249985	6_77242765_77249985	414.12479926143897	-0.39877770823526293	0.000452686528955875	0.07041016627298301	ENSMUSG00000060780.2	Lrrtm1	TTS	ENSMUSG00000060780.2
6	60823949	60829404	6_60823949_60829404	366.27499339690104	-0.42528388271534795	0.000520316279129571	0.0799047733974678	ENSMUSG00000025889.13	Snca	intron	ENSMUSG00000025889.13
13	73846294	73847530	13_73846294_73847530	93.7877877484553	-0.8639679486710179	0.000530769234984287	0.0803858386991532	ENSMUSG00000021567.15	Nkd2	TTS	ENSMUSG00000021567.15
10	20723267	20724752	10_20723267_20724752	62.758637821769	1.0798948317265	0.000539531395550821	0.0803858386991532	ENSMUSG00000019990.15	Pde7b	intron	ENSMUSG00000019990.15
3	107035377	107041811	3_107035377_107041811	510.33815642000803	-0.352587243999347	0.000549952572702746	0.0803858386991532	ENSMUSG00000056145.5	RP23-469H5.1	promoter-TSS	ENSMUSG00000056145.5
3	107035377	107041811	3_107035377_107041811	510.33815642000803	-0.352587243999347	0.000549952572702746	0.0803858386991532	ENSMUSG00000098108.7	RP23-469H5.2	promoter-TSS	ENSMUSG00000056145.5
3	107035377	107041811	3_107035377_107041811	510.33815642000803	-0.352587243999347	0.000549952572702746	0.0803858386991532	ENSMUSG00000047959.4	Kcna3	promoter-TSS	ENSMUSG00000056145.5
13	77044219	77047268	13_77044219_77047268	206.66871348188	-0.599866280609458	0.000544788682033646	0.0803858386991532	ENSMUSG00000021597.16	Slf1	intron	ENSMUSG00000021597.16
17	27556594	27558329	17_27556594_27558329	157.610393181134	-0.6199543027842089	0.000567939377859309	0.0820266730022517	ENSMUSG00000116657.1	RP23-189L19.10	promoter-TSS	ENSMUSG00000116657.1
17	27556594	27558329	17_27556594_27558329	157.610393181134	-0.6199543027842089	0.000567939377859309	0.0820266730022517	ENSMUSG00000046711.16	Hmga1	promoter-TSS	ENSMUSG00000116657.1
17	35162352	35165917	17_35162352_35165917	444.402635111743	0.363601769903421	0.000597874763698765	0.0843420538743421	ENSMUSG00000064853.1	Gm23442	promoter-TSS	ENSMUSG00000090936.2
17	35162352	35165917	17_35162352_35165917	444.402635111743	0.363601769903421	0.000597874763698765	0.0843420538743421	ENSMUSG00000090936.2	RP23-115O3.19	promoter-TSS	ENSMUSG00000090936.2
17	35162352	35165917	17_35162352_35165917	444.402635111743	0.363601769903421	0.000597874763698765	0.0843420538743421	ENSMUSG00000024393.14	Prrc2a	promoter-TSS	ENSMUSG00000090936.2
7	126501109	126504051	7_126501109_126504051	468.79579724661204	0.350895864152399	0.000591022066364162	0.0843420538743421	ENSMUSG00000032637.15	Atxn2l	promoter-TSS	ENSMUSG00000032637.15
15	11035152	11038308	15_11035152_11038308	202.31884332063302	-0.5246096898856011	0.000644775554484093	0.0899128393908162	ENSMUSG00000060735.4	Rxfp3	exon	ENSMUSG00000060735.4
13	119689021	119696295	13_119689021_119696295	799.52215788029	-0.270430193073522	0.0006683225465979571	0.0921373765378002			intron	ENSMUSG00000093930.2
11	117848478	117849647	11_117848478_117849647	120.12111140276501	0.6908948122546421	0.0007224680001607469	0.0978687714691807	ENSMUSG00000017716.15	Birc5	promoter-TSS	ENSMUSG00000017716.15
5	137783860	137788009	5_137783860_137788009	586.685125979124	0.30989765774055605	0.000726029461937542	0.0978687714691807	ENSMUSG00000029726.16	Mepce	exon	ENSMUSG00000029726.16
15	71725772	71728278	15_71725772_71728278	157.94249569858	-0.598120465411329	0.000746486481806399	0.0982391026086198	ENSMUSG00000036800.8	Fam135b	promoter-TSS	ENSMUSG00000036800.8
15	43168666	43171220	15_43168666_43171220	171.110764056532	-0.569196355147599	0.000748888368483543	0.0982391026086198	ENSMUSG00000051920.7	Rspo2	exon	ENSMUSG00000051920.7
1	194618460	194625964	1_194618460_194625964	579.276069241898	-0.30832565902353903	0.000753069283102674	0.0982391026086198	ENSMUSG00000026640.12	Plxna2	intron	ENSMUSG00000026640.12
8	58908447	58914114	8_58908447_58914114	270.219800185527	-0.445496905566967	0.000769387961190157	0.0988085679877868	ENSMUSG00000049946.7	AC116475.2	promoter-TSS	ENSMUSG00000049946.7
8	58908447	58914114	8_58908447_58914114	270.219800185527	-0.445496905566967	0.000769387961190157	0.0988085679877868	ENSMUSG00000096914.3	Galntl6	promoter-TSS	ENSMUSG00000049946.7
17	3326431	3328570	17_3326431_3328570	198.81644483421002	-0.52096103557598	0.000773723537655765	0.0988085679877868	ENSMUSG00000023800.15	Tiam2	intron	ENSMUSG00000023800.15
8	102779520	102785791	8_102779520_102785791	349.646291692074	-0.400142558384707	0.000792716623194979	0.0988433767575907	ENSMUSG00000110269.1	RP24-424D1.1	intron	ENSMUSG00000031673.6
8	95080228	95082368	8_95080228_95082368	257.873942048364	0.44585359712880296	0.000798438091183967	0.0988433767575907	ENSMUSG00000031787.8	Katnb1	exon	ENSMUSG00000031787.8
5	142904463	142907566	5_142904463_142907566	440.32134378342903	0.3664777290567	0.000790899313841988	0.0988433767575907	ENSMUSG00000029580.14	Actb	promoter-TSS	ENSMUSG00000029580.14
8	67814980	67818651	8_67814980_67818651	199.192425908251	-0.50855435305983	0.000824927316970624	0.10109109302512699	ENSMUSG00000030465.19	Psd3	intron	ENSMUSG00000030465.19
4	13750675	13753892	4_13750675_13753892	206.682232637575	-0.495740286104204	0.00084005525001765	0.101915502932141	ENSMUSG00000006586.15	Runx1t1	intron	ENSMUSG00000006586.15
16	4414772	4420547	16_4414772_4420547	373.720238167498	-0.374171659233479	0.000856952395948993	0.10192692615346301			intron	ENSMUSG00000005580.11
8	71568923	71572121	8_71568923_71572121	431.719376484486	0.38359831146976203	0.000849559798972573	0.10192692615346301	ENSMUSG00000031808.7	Slc27a1	promoter-TSS	ENSMUSG00000031808.7
16	23518231	23521200	16_23518231_23521200	257.852061230975	-0.46803145425132603	0.0008864798996226891	0.103411289829062	ENSMUSG00000109783.1	RP23-389N20.2	promoter-TSS	ENSMUSG00000109783.1
16	23518231	23521200	16_23518231_23521200	257.852061230975	-0.46803145425132603	0.0008864798996226891	0.103411289829062	ENSMUSG00000022887.9	Masp1	promoter-TSS	ENSMUSG00000109783.1
16	23518231	23521200	16_23518231_23521200	257.852061230975	-0.46803145425132603	0.0008864798996226891	0.103411289829062	ENSMUSG00000033355.6	Rtp4	promoter-TSS	ENSMUSG00000109783.1
7	25177829	25180101	7_25177829_25180101	238.35998807791802	0.463247364889329	0.000882955631330757	0.103411289829062	ENSMUSG00000008496.19	Pou2f2	intron	ENSMUSG00000008496.19
7	49245251	49250158	7_49245251_49250158	578.692225376559	-0.315141088492305	0.000926012676082374	0.104994259684405	ENSMUSG00000052512.17	Nav2	intron	ENSMUSG00000052512.17
8	31915596	31919206	8_31915596_31919206	253.72974637066002	-0.45173334167003704	0.0009127366441495449	0.104994259684405	ENSMUSG00000062991.7	Nrg1	exon	ENSMUSG00000062991.7
9	21164725	21167404	9_21164725_21167404	168.778338245821	-0.545132098394413	0.0009216494173126619	0.104994259684405	ENSMUSG00000032177.17	Pde4a	exon	ENSMUSG00000032177.17
13	68997325	68999409	13_68997325_68999409	205.058261452166	-0.488888856391931	0.0009461725362239571	0.105311607426322	ENSMUSG00000113121.1	RP23-96D5.3	promoter-TSS	ENSMUSG00000113505.1
11	100937371	100939458	11_100937371_100939458	193.518509045164	0.529429977285197	0.0009441434079708029	0.105311607426322	ENSMUSG00000004040.16	Stat3	intron	ENSMUSG00000004040.16
