.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	FOXG1_unique
ENSMUSG00000000567	2995.09871	0.056522595	0.215556249	0.730452652	0.84248399	Sox9	FOXG1_unique
ENSMUSG00000000579	222.0323222	-0.114112631	0.165636212	0.422686679	0.601628377	Dynlt1c	FOXG1_unique
ENSMUSG00000000581	2449.666897	0.226938502	0.090005268	0.00857348	0.034945179	C1d	FOXG1_unique
ENSMUSG00000000594	5164.227351	-0.423697118	0.231650291	0.020239745	0.068306606	Gm2a	FOXG1_unique
ENSMUSG00000000600	1728.807656	-0.06367825	0.104272705	0.521714284	0.683887912	Krit1	FOXG1_unique
ENSMUSG00000000605	7623.015847	-0.906023694	0.107023986	3.14457E-18	5.12996E-16	Clcn4	FOXG1_unique
ENSMUSG00000000627	3993.051029	-0.632526037	0.197906033	0.000262309	0.001959161	Sema4f	FOXG1_unique
ENSMUSG00000000628	524.1898121	-0.075837799	0.118390317	0.49031553	0.658036917	Hk2	FOXG1_unique
ENSMUSG00000000631	7976.89526	-0.20221116	0.078107767	0.007153926	0.03026914	Myo18a	FOXG1_unique
ENSMUSG00000000632	4680.17147	-1.885798805	0.153700863	6.13721E-36	6.20748E-33	Sez6	FOXG1_unique
ENSMUSG00000000673	1.810816247	0.045221252	0.328048954	0.431999328	.	Haao	FOXG1_unique
ENSMUSG00000000706	4.346404919	-0.018266276	0.32323309	0.728821387	.	Btn1a1	FOXG1_unique
ENSMUSG00000000732	302.2837099	0.055693489	0.225708722	0.732607733	0.844079587	Icosl	FOXG1_unique
ENSMUSG00000000738	2478.726458	-0.081213813	0.123557348	0.460805477	0.633693677	Spg7	FOXG1_unique
ENSMUSG00000000740	10890.82028	-0.073129529	0.117627081	0.511209235	0.675501444	Rpl13	FOXG1_unique
ENSMUSG00000000751	4543.533203	-0.183349848	0.079790945	0.018262062	0.062880553	Rpa1	FOXG1_unique
ENSMUSG00000000759	1717.222007	-0.077777517	0.076623253	0.313849833	0.496509601	Tubgcp3	FOXG1_unique
ENSMUSG00000000766	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1	FOXG1_unique
ENSMUSG00000000776	1236.376549	0.097410661	0.108819663	0.340760811	0.522958352	Polr3d	FOXG1_unique
ENSMUSG00000000791	10.63866819	-0.012234044	0.304074144	0.909336118	0.950166957	Il12rb1	FOXG1_unique
ENSMUSG00000000794	1293.945429	-0.408983749	0.147771702	0.002090575	0.011184936	Kcnn3	FOXG1_unique
ENSMUSG00000000805	8.07368549	-0.014597	0.30995189	0.877317373	0.933083761	Car4	FOXG1_unique
ENSMUSG00000000811	447.7286049	-0.195679574	0.113851058	0.070575631	0.175734874	Txnrd3	FOXG1_unique
ENSMUSG00000000826	13788.00077	-0.403091072	0.115813913	0.000202018	0.001583964	Dnajc5	FOXG1_unique
ENSMUSG00000000827	3179.809804	-0.042336667	0.10801735	0.653238285	0.787757918	Tpd52l2	FOXG1_unique
ENSMUSG00000000861	3972.32574	-0.260058424	0.203158613	0.112009174	0.244716878	Bcl11a	FOXG1_unique
ENSMUSG00000000876	1395.388366	-0.139506466	0.111634814	0.182580581	0.345589503	Pxmp4	FOXG1_unique
ENSMUSG00000000884	485.2313486	0.013550448	0.14627716	0.928617573	0.960820669	Gnb1l	FOXG1_unique
ENSMUSG00000000902	3461.967643	0.319481719	0.089848328	0.000211294	0.001637651	Smarcb1	FOXG1_unique
ENSMUSG00000000915	2801.143603	-0.124414142	0.133124539	0.31110736	0.493444471	Hip1r	FOXG1_unique
ENSMUSG00000000916	574.3912901	-0.122027931	0.09223447	0.167014362	0.324359978	Nsun5	FOXG1_unique
ENSMUSG00000000948	339.3754414	-0.806380628	0.18207965	1.15403E-06	1.84107E-05	RP24-177J9.4	FOXG1_unique
ENSMUSG00000000958	56.70400434	-0.024321597	0.268388626	0.868466047	0.92855178	Slc7a7	FOXG1_unique
ENSMUSG00000000959	2340.288833	0.234724436	0.078590227	0.002088896	0.011178907	Oxa1l	FOXG1_unique
ENSMUSG00000000976	1449.851096	-0.270023838	0.103715123	0.005461457	0.024356221	Heatr6	FOXG1_unique
ENSMUSG00000001016	4616.231496	0.225486459	0.076189055	0.002300745	0.01206683	Ilf2	FOXG1_unique
ENSMUSG00000001017	6800.467531	-0.091332898	0.068761119	0.169417469	0.327705678	Chtop	FOXG1_unique
ENSMUSG00000001020	77.19143583	-0.131906824	0.298880559	0.389606367	0.570372646	S100a4	FOXG1_unique
ENSMUSG00000001021	20.26094662	0.087095152	0.299484559	0.539804293	0.70012984	S100a3	FOXG1_unique
ENSMUSG00000001027	3.731851022	0.052272402	0.327894506	0.41676887	.	Scn4a	FOXG1_unique
ENSMUSG00000001029	3.886967011	-0.015774526	0.323883656	0.874037472	.	Icam2	FOXG1_unique
ENSMUSG00000001034	3054.794993	-0.319475184	0.114410597	0.002859089	0.014405513	Mapk7	FOXG1_unique
ENSMUSG00000001036	4050.281387	-0.125024787	0.125600979	0.280438906	0.460919615	Epn2	FOXG1_unique
ENSMUSG00000001039	990.2600113	0.1945686	0.145474068	0.130603737	0.272847568	B9d1	FOXG1_unique
ENSMUSG00000001052	3108.924731	-0.196686706	0.104191381	0.044969957	0.125819152	Sec24b	FOXG1_unique
ENSMUSG00000001053	724.3174589	-0.022734079	0.110239496	0.826096897	0.90271792	N4bp3	FOXG1_unique
ENSMUSG00000001054	2102.295329	-0.246120091	0.073828468	0.000603535	0.003985934	Rmnd5b	FOXG1_unique
ENSMUSG00000001056	1939.55513	-0.034589856	0.11296541	0.725286495	0.839204971	Nhp2	FOXG1_unique
ENSMUSG00000001062	1861.662755	0.465679266	0.103469532	2.35855E-06	3.46234E-05	Vps9d1	FOXG1_unique
ENSMUSG00000001065	1133.724235	-0.292430074	0.11277329	0.005537465	0.024597579	Zfp276	FOXG1_unique
ENSMUSG00000001076	4.351797998	0.004627221	0.316379416	0.957151956	.	C1ql4	FOXG1_unique
ENSMUSG00000001082	1019.140302	-0.32907975	0.098384765	0.00043974	0.00305163	Mfsd10	FOXG1_unique
ENSMUSG00000001089	2239.708501	0.168568558	0.115523496	0.117325588	0.252675325	Luzp1	FOXG1_unique
ENSMUSG00000001100	4761.492685	0.037092369	0.098680977	0.693324558	0.816894548	Poldip2	FOXG1_unique
ENSMUSG00000001105	2411.500286	0.269458686	0.13602596	0.029344796	0.090947737	Ift20	FOXG1_unique
ENSMUSG00000001119	4783.879726	-0.038304162	0.138878472	0.758418073	0.860707266	Col6a1	FOXG1_unique
ENSMUSG00000001120	3243.243221	0.125788901	0.133257556	0.289604079	0.470327626	Pcbp3	FOXG1_unique
ENSMUSG00000001123	886.9747664	0.156529176	0.114937971	0.150875177	0.30122917	Lgals9	FOXG1_unique
ENSMUSG00000001138	1208.234364	0.051765396	0.099099583	0.569279106	0.722829075	Cnnm3	FOXG1_unique
ENSMUSG00000001150	2369.934392	-0.124209994	0.117130606	0.275186706	0.455395277	Mcm3ap	FOXG1_unique
ENSMUSG00000001151	621.7243414	0.063992019	0.103115924	0.508184577	0.67304346	Pcnt	FOXG1_unique
ENSMUSG00000001157	1542.960376	-0.097159211	0.094057225	0.270959297	0.450278126	Gmcl1	FOXG1_unique
ENSMUSG00000001158	1325.288612	0.437396325	0.119094299	7.93859E-05	0.000715322	Snrnp27	FOXG1_unique
ENSMUSG00000001166	238.5214447	0.963845847	0.242736915	6.40095E-06	8.14883E-05	Oas1c	FOXG1_unique
ENSMUSG00000001175	61053.57153	-0.107864482	0.068481677	0.145005859	0.2929766	Calm1	FOXG1_unique
ENSMUSG00000001211	9452.965862	-0.352743661	0.092431439	6.57866E-05	0.000612424	Agpat3	FOXG1_unique
ENSMUSG00000001227	4351.749462	-0.175761837	0.170018942	0.228253551	0.400797217	Sema6b	FOXG1_unique
ENSMUSG00000001228	694.7837895	-0.623970331	0.322601718	0.006084744	0.026579202	Uhrf1	FOXG1_unique
ENSMUSG00000001229	1912.378162	-0.550707353	0.112482177	2.28149E-07	4.34988E-06	Dpp9	FOXG1_unique
ENSMUSG00000001240	314.1694681	-1.139763083	0.163113256	2.46156E-13	1.66538E-11	Ramp2	FOXG1_unique
ENSMUSG00000001248	5328.255355	-0.329628442	0.104076513	0.000816642	0.005144771	Gramd1a	FOXG1_unique
ENSMUSG00000001249	53.32058806	-0.049396896	0.251225034	0.760609307	0.862222789	Hpn	FOXG1_unique
ENSMUSG00000001260	371.9923226	-0.595798614	0.152954638	2.00992E-05	0.000223643	Gabrg1	FOXG1_unique
ENSMUSG00000001270	60173.78622	0.03742876	0.170514314	0.799993237	0.887034817	Ckb	FOXG1_unique
ENSMUSG00000001280	1592.68917	-0.192071204	0.077032207	0.010182934	0.040106161	Sp1	FOXG1_unique
ENSMUSG00000001288	687.884805	0.211866534	0.122849375	0.062279756	0.16082299	Rarg	FOXG1_unique
ENSMUSG00000001289	5093.663496	0.275922134	0.100521248	0.003837317	0.018338078	Pfdn5	FOXG1_unique
ENSMUSG00000001300	3944.085397	-1.170017022	0.11983235	1.59729E-23	5.57098E-21	Efnb2	FOXG1_unique
ENSMUSG00000001305	451.4794429	0.132982683	0.113640873	0.209641728	0.379188351	Rrp15	FOXG1_unique
ENSMUSG00000001313	3647.951274	0.938901743	0.161460506	5.43905E-10	1.92018E-08	Rnd2	FOXG1_unique
ENSMUSG00000001323	4501.274855	0.113859888	0.124073702	0.326590153	0.509101879	Srr	FOXG1_unique
ENSMUSG00000001333	445.3583375	-0.088450537	0.220674404	0.589927805	0.738651249	Sync	FOXG1_unique
ENSMUSG00000001334	456.6735022	0.463406981	0.153614481	0.000822137	0.005171332	Fndc5	FOXG1_unique
ENSMUSG00000001349	1382.620634	0.125895502	0.312364517	0.378825713	0.560511075	Cnn1	FOXG1_unique
ENSMUSG00000001366	2504.407093	-0.078039342	0.126102355	0.495485705	0.66233928	Fbxo9	FOXG1_unique
ENSMUSG00000001376	2417.079422	-0.137947073	0.090521551	0.111834961	0.244497311	Vps50	FOXG1_unique
ENSMUSG00000001383	4699.007782	-0.497091972	0.158193171	0.000448233	0.003096937	Zmat2	FOXG1_unique
ENSMUSG00000001415	3607.649853	-0.145659642	0.089332542	0.092158618	0.213621713	Smg5	FOXG1_unique
ENSMUSG00000001416	10132.1921	-0.409858436	0.08772982	1.01147E-06	1.62647E-05	Cct3	FOXG1_unique
ENSMUSG00000001419	4004.784232	0.155655993	0.151137215	0.241954269	0.417399228	Mef2d	FOXG1_unique
ENSMUSG00000001424	5523.993074	-0.085278128	0.08726305	0.288686682	0.469403013	Snd1	FOXG1_unique
ENSMUSG00000001435	19534.58091	0.152820728	0.158782649	0.26780103	0.447012709	Col18a1	FOXG1_unique
ENSMUSG00000001445	2863.183208	0.063817907	0.071315456	0.346237142	0.528327008	Mrpl10	FOXG1_unique
ENSMUSG00000001467	8305.176399	-0.950004715	0.130176571	3.62355E-14	2.85217E-12	Cyp51	FOXG1_unique
ENSMUSG00000001472	19471.96439	0.100115633	0.094421525	0.268021013	0.447121646	Tcf25	FOXG1_unique
ENSMUSG00000001473	2555.126941	-0.023145748	0.116775533	0.828628025	0.904187911	Tubb6	FOXG1_unique
ENSMUSG00000001493	12.99164264	-0.035554563	0.286493601	0.798998946	0.886612206	Meox1	FOXG1_unique
ENSMUSG00000001494	3.353271294	0.095447003	0.342429333	0.151217789	.	Sost	FOXG1_unique
ENSMUSG00000001496	199.6854974	0.55190726	0.38731238	0.019376483	0.065987689	Nkx2-1	FOXG1_unique
ENSMUSG00000001497	3.45798442	-0.017296741	0.321410581	0.862186609	.	Pax9	FOXG1_unique
ENSMUSG00000001504	22.30673828	-0.280093998	0.395669298	0.130327898	0.272327555	Irx2	FOXG1_unique
ENSMUSG00000001506	14392.32931	0.171649191	0.179929313	0.262152941	0.44067574	Col1a1	FOXG1_unique
ENSMUSG00000001507	6759.398585	-0.61205668	0.147245255	6.99228E-06	8.84596E-05	Itga3	FOXG1_unique
ENSMUSG00000001518	557.1298998	0.416391341	0.137500923	0.000933828	0.005726098	Itfg2	FOXG1_unique
ENSMUSG00000001521	2616.504445	-0.226388944	0.127916624	0.054562661	0.145747797	Tulp3	FOXG1_unique
ENSMUSG00000001524	569.7466383	0.029710961	0.122189581	0.79374099	0.883540774	Gtf2h4	FOXG1_unique
ENSMUSG00000001525	45403.7071	-0.350441466	0.108704645	0.000885678	0.005492223	Tubb5	FOXG1_unique
ENSMUSG00000001542	330.9797033	-0.55822822	0.169115776	0.000223837	0.001719715	Ell2	FOXG1_unique
ENSMUSG00000001552	2683.455718	-0.480954272	0.164816848	0.000955592	0.005838315	Jup	FOXG1_unique
ENSMUSG00000001569	1200.485277	0.168953641	0.080806064	0.030796686	0.094463405	Nom1	FOXG1_unique
ENSMUSG00000001576	10069.88057	-0.117332832	0.085657099	0.155138067	0.307524542	Ergic1	FOXG1_unique
ENSMUSG00000001627	2163.345892	0.543659486	0.138627467	2.05809E-05	0.000227877	Ifrd1	FOXG1_unique
ENSMUSG00000001630	1036.508935	0.190695376	0.123541139	0.095588002	0.219085621	Stk38l	FOXG1_unique
ENSMUSG00000001642	2900.159554	-0.011303491	0.086147954	0.89204792	0.941326937	Akr1b3	FOXG1_unique
ENSMUSG00000001655	33.34760989	0.185965354	0.279409177	0.293700886	0.474732339	Hoxc13	FOXG1_unique
ENSMUSG00000001666	774.753368	0.103317776	0.161196606	0.459700838	0.632776828	Ddt	FOXG1_unique
ENSMUSG00000001672	10.18256383	0.093790728	0.308351723	0.490564317	0.658036917	Marveld3	FOXG1_unique
ENSMUSG00000001674	989.4485103	0.128812227	0.098036361	0.169467977	0.327772034	Ddx18	FOXG1_unique
ENSMUSG00000001687	4804.665025	0.106967535	0.098726428	0.263377028	0.442218949	Ubl3	FOXG1_unique
ENSMUSG00000001700	936.9740043	0.198403025	0.174040295	0.17883114	0.340381551	Gramd3	FOXG1_unique
ENSMUSG00000001707	1286.153698	-0.438308551	0.122140358	0.000117698	0.001001646	Eef1e1	FOXG1_unique
ENSMUSG00000001729	7728.220017	-0.312797473	0.080867194	6.2502E-05	0.00058562	Akt1	FOXG1_unique
ENSMUSG00000001741	269.2806938	-2.069566869	0.226344191	3.12782E-21	8.55036E-19	Il16	FOXG1_unique
ENSMUSG00000001751	1275.464868	-0.140922125	0.159778855	0.312045176	0.494582924	Naglu	FOXG1_unique
ENSMUSG00000001755	1674.374154	-0.523684001	0.101573232	9.25194E-08	1.95976E-06	Coasy	FOXG1_unique
ENSMUSG00000001761	2716.375628	-0.116020999	0.13514924	0.351786621	0.533775244	Smo	FOXG1_unique
ENSMUSG00000001763	927.3805191	-0.591324067	0.24088698	0.002247028	0.011852705	Tspan33	FOXG1_unique
ENSMUSG00000001767	1010.348419	0.246637763	0.100741182	0.009745229	0.038699695	Crnkl1	FOXG1_unique
ENSMUSG00000001768	1520.694903	0.383929018	0.153854624	0.005007964	0.022694019	Rin2	FOXG1_unique
ENSMUSG00000001774	2027.957226	-0.284135229	0.089184842	0.000887557	0.005497366	Chordc1	FOXG1_unique
ENSMUSG00000001783	5845.219045	-0.016702911	0.073377386	0.817450523	0.89739006	Rtcb	FOXG1_unique
ENSMUSG00000001785	1575.838843	-0.094171993	0.109684159	0.359103908	0.541165178	Pwp1	FOXG1_unique
ENSMUSG00000001786	782.6944229	-0.205266522	0.114385577	0.055420699	0.147513857	Fbxo7	FOXG1_unique
ENSMUSG00000001794	11286.98095	-0.573040055	0.144703596	1.80853E-05	0.000203474	Capns1	FOXG1_unique
ENSMUSG00000001802	3726.594193	-0.003335831	0.099125907	0.960850359	0.978850879	Lrp3	FOXG1_unique
ENSMUSG00000001827	2538.974161	0.939800623	0.306901455	0.000201577	0.001582348	Folr1	FOXG1_unique
ENSMUSG00000001829	3001.77417	-0.020977496	0.099033865	0.786021514	0.878185641	Clpb	FOXG1_unique
ENSMUSG00000001833	11872.69559	-0.209256166	0.097394905	0.023827305	0.077704747	Sept7	FOXG1_unique
ENSMUSG00000001844	987.1994951	-0.194590818	0.124721002	0.091563942	0.21273079	Zdhhc4	FOXG1_unique
ENSMUSG00000001847	15297.7854	-0.04678777	0.091404831	0.59300647	0.740992518	Rac1	FOXG1_unique
ENSMUSG00000001855	1987.390525	-0.108531739	0.129108748	0.358894213	0.541104083	Nup214	FOXG1_unique
ENSMUSG00000001865	4.793124415	0.049246531	0.322647707	0.502552817	0.668165688	Cpa3	FOXG1_unique
ENSMUSG00000001870	1333.436023	-0.741394628	0.20046765	2.73296E-05	0.000289865	Ltbp1	FOXG1_unique
ENSMUSG00000001891	4479.865041	0.141784178	0.147279989	0.280437188	0.460919615	Ugp2	FOXG1_unique
ENSMUSG00000001909	2161.853577	-0.32496663	0.100324226	0.000645247	0.0042089	Trmt1	FOXG1_unique
ENSMUSG00000001910	4687.932797	-0.354543585	0.105644631	0.000410519	0.002879466	Nacc1	FOXG1_unique
ENSMUSG00000001911	36039.4172	0.410636649	0.19448481	0.011385037	0.043826435	Nfix	FOXG1_unique
ENSMUSG00000001930	42.99268026	-0.458087456	0.297205647	0.029168729	0.090564946	Vwf	FOXG1_unique
ENSMUSG00000001942	1510.93349	0.012146465	0.109947798	0.907740541	0.949466567	Siae	FOXG1_unique
ENSMUSG00000001948	506.640983	0.825664736	0.279868225	0.000328787	0.002376214	Spa17	FOXG1_unique
ENSMUSG00000001983	630.82303	0.103468323	0.110125017	0.318072852	0.500723403	Taco1	FOXG1_unique
ENSMUSG00000001985	1246.639929	-0.738571241	0.203660074	3.65793E-05	0.000371281	Grik3	FOXG1_unique
ENSMUSG00000001988	228.3750136	0.268932591	0.263647088	0.146518072	0.295151771	Npas1	FOXG1_unique
ENSMUSG00000001995	1682.483873	0.173778684	0.181524159	0.26978119	0.448947327	Sipa1l2	FOXG1_unique
ENSMUSG00000001998	665.5746708	-0.554656679	0.118296982	8.64859E-07	1.41193E-05	Ap4e1	FOXG1_unique
ENSMUSG00000001999	650.1960898	0.055855245	0.117338519	0.609011666	0.753774901	Blvra	FOXG1_unique
ENSMUSG00000002017	3246.092841	-0.225063448	0.115357648	0.037252949	0.109042093	Fam98a	FOXG1_unique
ENSMUSG00000002020	7775.22473	-0.890815871	0.182907391	1.11117E-07	2.29601E-06	Ltbp2	FOXG1_unique
ENSMUSG00000002028	4540.909527	0.000229442	0.198817822	0.997620482	0.998657202	Kmt2a	FOXG1_unique
ENSMUSG00000002031	2102.347757	0.265404511	0.116930442	0.01491287	0.05392786	Ift46	FOXG1_unique
ENSMUSG00000002043	1006.735831	0.594084749	0.128965737	9.35184E-07	1.51951E-05	Trappc6a	FOXG1_unique
ENSMUSG00000002052	6288.534613	-0.255859419	0.123157225	0.026507542	0.08415271	Supt6	FOXG1_unique
ENSMUSG00000002055	392.7046067	-0.38664925	0.269982257	0.045490974	0.12682427	Spag5	FOXG1_unique
ENSMUSG00000002059	1619.790091	0.046299633	0.119732242	0.694695318	0.818122496	Rab34	FOXG1_unique
ENSMUSG00000002064	3938.542061	-0.06471793	0.111704687	0.535385415	0.696259181	Sdf2	FOXG1_unique
ENSMUSG00000002068	590.8974488	-0.348668986	0.184972516	0.025885158	0.082787488	Ccne1	FOXG1_unique
ENSMUSG00000002076	24.41208318	-0.231771669	0.356785433	0.170745351	0.329612339	Hsf2bp	FOXG1_unique
ENSMUSG00000002083	2555.070291	0.353599728	0.164027226	0.013228781	0.049152885	Bbc3	FOXG1_unique
ENSMUSG00000002102	7764.653188	-0.167621357	0.102820072	0.087678765	0.206260376	Psmc3	FOXG1_unique
ENSMUSG00000002103	3678.639521	-0.635882498	0.090104849	3.46257E-13	2.29654E-11	Acp2	FOXG1_unique
ENSMUSG00000002105	2103.882229	-0.251732045	0.084651197	0.002095829	0.011210083	Slc39a13	FOXG1_unique
ENSMUSG00000002107	15737.4899	-0.541666917	0.133016311	1.14944E-05	0.000136616	Celf2	FOXG1_unique
ENSMUSG00000002109	385.4602455	-0.183343961	0.104589864	0.063617099	0.163118091	Ddb2	FOXG1_unique
ENSMUSG00000002129	4276.328734	-0.010261287	0.087179079	0.902211528	0.945813843	Sf3a1	FOXG1_unique
ENSMUSG00000002147	501.8845479	0.170519125	0.124572696	0.138062038	0.283107651	Stat6	FOXG1_unique
