.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	DIV11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	FOXG1_unique
ENSMUSG00000000305	2765.271404	-0.515077336	0.141539612	8.92157E-05	0.000788787	Cdh4	chr2	179443696	179443880	DIV11	Promoter (<=1kb)	2	179444233	179780319	336087	1	ENSMUST00000124708	-353	ENSMUSG00000000305	FOXG1_unique
ENSMUSG00000000317	114.5931945	-2.157746898	0.527390284	3.89629E-07	7.01228E-06	Bcl6b	chr11	70226274	70226476	DIV11	Intron (ENSMUST00000000326/ENSMUSG00000000317, intron 8 of 8)	11	70228540	70229677	1138	2	ENSMUST00000153449	3201	ENSMUSG00000000317	FOXG1_unique
ENSMUSG00000000325	5665.809036	-0.030956502	0.180840994	0.834710749	0.907964375	Arvcf	chr16	18384400	18384584	DIV11	Intron (ENSMUST00000115614/ENSMUSG00000000325, intron 2 of 17)	16	18380783	18406747	25965	1	ENSMUST00000115612	3618	ENSMUSG00000000325	FOXG1_unique
ENSMUSG00000000326	3256.871341	-0.114214925	0.089335928	0.167872055	0.325573234	Comt	chr16	18426264	18426462	DIV11	Promoter (<=1kb)	16	18407544	18426385	18842	2	ENSMUST00000000335	0	ENSMUSG00000000326	FOXG1_unique
ENSMUSG00000000339	2296.664226	0.042719921	0.085710292	0.606192543	0.751429173	Rtca	chr3	116494706	116494890	DIV11	Promoter (1-2kb)	3	116489240	116495965	6726	2	ENSMUST00000124486	1075	ENSMUSG00000000339	FOXG1_unique
ENSMUSG00000000340	1075.536641	-0.1524504	0.102235495	0.131746301	0.274440935	Dbt	chr3	116512996	116513640	DIV11	Promoter (<=1kb)	3	116513070	116549976	36907	1	ENSMUST00000000349	0	ENSMUSG00000000340	FOXG1_unique
ENSMUSG00000000346	5249.730215	0.109163808	0.143826171	0.408617131	0.588447067	Dazap2	chr15	100613423	100613926	DIV11	Promoter (1-2kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	-1702	ENSMUSG00000000346	FOXG1_unique
ENSMUSG00000000374	5052.351902	0.061874337	0.098044271	0.506402162	0.671386115	Trappc10	chr10	78218973	78219158	DIV11	Intron (ENSMUST00000000384/ENSMUSG00000000374, intron 5 of 22)	10	78186725	78244642	57918	2	ENSMUST00000000384	25484	ENSMUSG00000000374	FOXG1_unique
ENSMUSG00000000378	2765.155597	-0.205777979	0.123771005	0.072170333	0.17862886	Ccm2	chr11	6569794	6570015	DIV11	Exon (ENSMUST00000000388/ENSMUSG00000000378, exon 2 of 10)	11	6561230	6596742	35513	1	ENSMUST00000109721	8565	ENSMUSG00000000378	FOXG1_unique
ENSMUSG00000000384	1045.430557	-0.352029847	0.118470562	0.001365074	0.007878484	Tbrg4	chr11	6625606	6626317	DIV11	Promoter (<=1kb)	11	6615598	6626043	10446	2	ENSMUST00000156969	0	ENSMUSG00000000384	FOXG1_unique
ENSMUSG00000000385	22.12579646	-0.080626396	0.269711415	0.610515132	0.754819558	Tmprss2	chr16	97671568	97671926	DIV11	Distal Intergenic	16	97564684	97611195	46512	2	ENSMUST00000000395	-60374	ENSMUSG00000000385	FOXG1_unique
ENSMUSG00000000386	20.93935738	-0.712277909	0.900333099	0.016844124	0.058963739	Mx1	chr16	97431296	97431506	DIV11	Intron (ENSMUST00000047275/ENSMUSG00000040605, intron 8 of 8)	16	97448131	97457492	9362	2	ENSMUST00000170016	25986	ENSMUSG00000000386	FOXG1_unique
ENSMUSG00000000392	84.97465775	0.352581043	0.235517727	0.052867556	0.142022688	Fap	chr2	62502620	62502852	DIV11	Promoter (<=1kb)	2	62501123	62503424	2302	2	ENSMUST00000128139	572	ENSMUSG00000000392	FOXG1_unique
ENSMUSG00000000399	4283.334147	0.016558743	0.078508256	0.835141279	0.908185837	Ndufa9	chr6	126823012	126823543	DIV11	Intron (ENSMUST00000088194/ENSMUSG00000000399, intron 10 of 10)	6	126821863	126849144	27282	2	ENSMUST00000088194	25601	ENSMUSG00000000399	FOXG1_unique
ENSMUSG00000000409	154.7062624	0.148831554	0.241797637	0.385790219	0.566503226	Lck	chr4	129556116	129556301	DIV11	Promoter (<=1kb)	4	129551976	129556231	4256	2	ENSMUST00000127943	0	ENSMUSG00000000409	FOXG1_unique
ENSMUSG00000000416	2311.847998	-0.422400022	0.178587448	0.005940722	0.026096607	Cttnbp2	chr6	18368866	18369163	DIV11	Intron (ENSMUST00000152499/ENSMUSG00000000416, intron 18 of 18)	6	18367526	18382860	15335	2	ENSMUST00000149570	13697	ENSMUSG00000000416	FOXG1_unique
ENSMUSG00000000420	3153.196132	0.153862029	0.086567679	0.064836406	0.165394156	Galnt1	chr18	24168906	24169104	DIV11	Distal Intergenic	18	24205344	24286818	81475	1	ENSMUST00000000430	-36240	ENSMUSG00000000420	FOXG1_unique
ENSMUSG00000000439	2011.537548	0.224515645	0.116792711	0.039452484	0.113914401	Mkrn2	chr6	115607522	115607794	DIV11	Intron (ENSMUST00000000449/ENSMUSG00000000439, intron 1 of 7)	6	115601938	115618670	16733	1	ENSMUST00000000449	5585	ENSMUSG00000000439	FOXG1_unique
ENSMUSG00000000440	50.06232818	-0.583231217	0.589972757	0.019525896	0.066359745	Pparg	chr6	115382582	115382792	DIV11	Intron (ENSMUST00000171644/ENSMUSG00000000440, intron 1 of 7)	6	115361221	115490401	129181	1	ENSMUST00000171644	21362	ENSMUSG00000000440	FOXG1_unique
ENSMUSG00000000441	5273.90312	-0.044703648	0.073159819	0.54358161	0.702806621	Raf1	chr6	115659409	115659593	DIV11	Intron (ENSMUST00000112949/ENSMUSG00000000441, intron 1 of 16)	6	115618569	115675964	57396	2	ENSMUST00000112949	16371	ENSMUSG00000000441	FOXG1_unique
ENSMUSG00000000489	1441.314794	-0.679749379	0.171253578	1.10951E-05	0.000132415	Pdgfb	chr15	80005052	80005377	DIV11	Intron (ENSMUST00000000500/ENSMUSG00000000489, intron 2 of 6)	15	79995900	80014808	18909	2	ENSMUST00000000500	9431	ENSMUSG00000000489	FOXG1_unique
ENSMUSG00000000531	307.9031237	-0.539277807	0.268399486	0.008127809	0.033575136	Grasp	chr15	101215484	101215668	DIV11	Distal Intergenic	15	101224207	101232755	8549	1	ENSMUST00000000543	-8539	ENSMUSG00000000531	FOXG1_unique
ENSMUSG00000000532	5462.015673	-0.102412549	0.118440671	0.352360761	0.534285723	Acvr1b	chr15	101163166	101163364	DIV11	Distal Intergenic	15	101174104	101213678	39575	1	ENSMUST00000000544	-10740	ENSMUSG00000000532	FOXG1_unique
ENSMUSG00000000538	9061.221798	-0.062589157	0.091265281	0.473960411	0.644597631	Tom1l2	chr11	60248857	60249111	DIV11	Exon (ENSMUST00000095254/ENSMUSG00000000538, exon 7 of 14)	11	60229902	60245669	15768	2	ENSMUST00000143124	-3189	ENSMUSG00000000538	FOXG1_unique
ENSMUSG00000000552	2713.910803	0.391828693	0.118067556	0.000367242	0.002620434	Zfp385a	chr15	103342384	103342693	DIV11	Promoter (2-3kb)	15	103313895	103340086	26192	2	ENSMUST00000168828	-2299	ENSMUSG00000000552	FOXG1_unique
ENSMUSG00000000560	3555.654311	-1.569597858	0.203543809	6.50578E-16	7.03773E-14	Gabra2	chr5	70969367	70969551	DIV11	Intron (ENSMUST00000000572/ENSMUSG00000000560, intron 9 of 9)	5	70961057	71095849	134793	2	ENSMUST00000000572	126298	ENSMUSG00000000560	FOXG1_unique
ENSMUSG00000000561	2016.272808	-0.191094967	0.10090441	0.045724151	0.127211367	Wdr77	chr3	105958927	105959928	DIV11	Promoter (<=1kb)	3	105959369	105969760	10392	1	ENSMUST00000010278	0	ENSMUSG00000000561	FOXG1_unique
ENSMUSG00000000567	2995.09871	0.056522595	0.215556249	0.730452652	0.84248399	Sox9	chr11	112782097	112782515	DIV11	Promoter (<=1kb)	11	112782224	112787760	5537	1	ENSMUST00000000579	0	ENSMUSG00000000567	FOXG1_unique
ENSMUSG00000000579	222.0323222	-0.114112631	0.165636212	0.422686679	0.601628377	Dynlt1c	chr17	6601344	6602056	DIV11	Promoter (<=1kb)	17	6601671	6609679	8009	1	ENSMUST00000092966	0	ENSMUSG00000000579	FOXG1_unique
ENSMUSG00000000581	2449.666897	0.226938502	0.090005268	0.00857348	0.034945179	C1d	chr11	17237326	17237510	DIV11	Distal Intergenic	11	17257579	17262910	5332	1	ENSMUST00000131227	-20069	ENSMUSG00000000581	FOXG1_unique
ENSMUSG00000000594	5164.227351	-0.423697118	0.231650291	0.020239745	0.068306606	Gm2a	chr11	55097470	55097674	DIV11	Promoter (<=1kb)	11	55098115	55113029	14915	1	ENSMUST00000000608	-441	ENSMUSG00000000594	FOXG1_unique
ENSMUSG00000000600	1728.807656	-0.06367825	0.104272705	0.521714284	0.683887912	Krit1	chr5	3803084	3803806	DIV11	Promoter (<=1kb)	5	3803165	3844515	41351	1	ENSMUST00000080085	0	ENSMUSG00000000600	FOXG1_unique
ENSMUSG00000000605	7623.015847	-0.906023694	0.107023986	3.14457E-18	5.12996E-16	Clcn4	chr7	7316970	7317154	DIV11	Exon (ENSMUST00000174368/ENSMUSG00000070847, exon 2 of 6)	7	7282316	7299511	17196	2	ENSMUST00000000619	-17460	ENSMUSG00000000605	FOXG1_unique
ENSMUSG00000000627	3993.051029	-0.632526037	0.197906033	0.000262309	0.001959161	Sema4f	chr6	82854113	82854435	DIV11	Distal Intergenic	6	82914084	82917586	3503	2	ENSMUST00000125579	63151	ENSMUSG00000000627	FOXG1_unique
ENSMUSG00000000628	524.1898121	-0.075837799	0.118390317	0.49031553	0.658036917	Hk2	chr6	82716197	82716492	DIV11	Distal Intergenic	6	82725062	82726309	1248	2	ENSMUST00000168725	9817	ENSMUSG00000000628	FOXG1_unique
ENSMUSG00000000631	7976.89526	-0.20221116	0.078107767	0.007153926	0.03026914	Myo18a	chr11	77762641	77763195	DIV11	Promoter (<=1kb)	11	77763246	77865980	102735	1	ENSMUST00000108375	-51	ENSMUSG00000000631	FOXG1_unique
ENSMUSG00000000632	4680.17147	-1.885798805	0.153700863	6.13721E-36	6.20748E-33	Sez6	chr11	77966742	77966964	DIV11	Promoter (2-3kb)	11	77969011	77974488	5478	1	ENSMUST00000140630	-2047	ENSMUSG00000000632	FOXG1_unique
ENSMUSG00000000673	1.810816247	0.045221252	0.328048954	0.431999328	.	Haao	chr17	83861371	83861675	DIV11	Distal Intergenic	17	83831356	83846790	15435	2	ENSMUST00000000687	-14582	ENSMUSG00000000673	FOXG1_unique
ENSMUSG00000000706	4.346404919	-0.018266276	0.32323309	0.728821387	.	Btn1a1	chr13	23463420	23463893	DIV11	Promoter (1-2kb)	13	23456992	23465875	8884	2	ENSMUST00000041674	1982	ENSMUSG00000000706	FOXG1_unique
ENSMUSG00000000732	302.2837099	0.055693489	0.225708722	0.732607733	0.844079587	Icosl	chr10	78081646	78082004	DIV11	Distal Intergenic	10	78069360	78079525	10166	1	ENSMUST00000105393	12287	ENSMUSG00000000732	FOXG1_unique
ENSMUSG00000000738	2478.726458	-0.081213813	0.123557348	0.460805477	0.633693677	Spg7	chr8	123065105	123065553	DIV11	Promoter (<=1kb)	8	123065179	123097760	32582	1	ENSMUST00000149248	0	ENSMUSG00000000738	FOXG1_unique
ENSMUSG00000000740	10890.82028	-0.073129529	0.117627081	0.511209235	0.675501444	Rpl13	chr8	123102265	123102797	DIV11	Promoter (<=1kb)	8	123102350	123105244	2895	1	ENSMUST00000000756	0	ENSMUSG00000000740	FOXG1_unique
ENSMUSG00000000751	4543.533203	-0.183349848	0.079790945	0.018262062	0.062880553	Rpa1	chr11	75279145	75279360	DIV11	Distal Intergenic	11	75301305	75342188	40884	2	ENSMUST00000135770	62828	ENSMUSG00000000751	FOXG1_unique
ENSMUSG00000000759	1717.222007	-0.077777517	0.076623253	0.313849833	0.496509601	Tubgcp3	chr8	12671621	12672807	DIV11	Promoter (<=1kb)	8	12614277	12672099	57823	2	ENSMUST00000164774	0	ENSMUSG00000000759	FOXG1_unique
ENSMUSG00000000766	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1	chr10	6551533	6551847	DIV11	Distal Intergenic	10	6758506	6979704	221199	1	ENSMUST00000147171	-206659	ENSMUSG00000000766	FOXG1_unique
ENSMUSG00000000776	1236.376549	0.097410661	0.108819663	0.340760811	0.522958352	Polr3d	chr14	70439709	70439893	DIV11	Exon (ENSMUST00000180358/ENSMUSG00000000776, exon 2 of 8)	14	70438748	70443227	4480	2	ENSMUST00000180358	3334	ENSMUSG00000000776	FOXG1_unique
ENSMUSG00000000791	10.63866819	-0.012234044	0.304074144	0.909336118	0.950166957	Il12rb1	chr8	70804729	70804950	DIV11	Distal Intergenic	8	70808449	70821424	12976	1	ENSMUST00000000808	-3499	ENSMUSG00000000791	FOXG1_unique
ENSMUSG00000000794	1293.945429	-0.408983749	0.147771702	0.002090575	0.011184936	Kcnn3	chr3	89507998	89508493	DIV11	Distal Intergenic	3	89520164	89667761	147598	1	ENSMUST00000000811	-11671	ENSMUSG00000000794	FOXG1_unique
ENSMUSG00000000805	8.07368549	-0.014597	0.30995189	0.877317373	0.933083761	Car4	chr11	84942547	84942810	DIV11	Distal Intergenic	11	84957786	84962555	4770	1	ENSMUST00000139416	-14976	ENSMUSG00000000805	FOXG1_unique
ENSMUSG00000000811	447.7286049	-0.195679574	0.113851058	0.070575631	0.175734874	Txnrd3	chr6	89643594	89643882	DIV11	Promoter (<=1kb)	6	89643988	89675529	31542	1	ENSMUST00000000828	-106	ENSMUSG00000000811	FOXG1_unique
ENSMUSG00000000826	13788.00077	-0.403091072	0.115813913	0.000202018	0.001583964	Dnajc5	chr2	181519744	181521100	DIV11	Promoter (<=1kb)	2	181520485	181555133	34649	1	ENSMUST00000072334	0	ENSMUSG00000000826	FOXG1_unique
ENSMUSG00000000827	3179.809804	-0.042336667	0.10801735	0.653238285	0.787757918	Tpd52l2	chr2	181496188	181496476	DIV11	Promoter (<=1kb)	2	181497142	181515115	17974	1	ENSMUST00000125529	-666	ENSMUSG00000000827	FOXG1_unique
ENSMUSG00000000861	3972.32574	-0.260058424	0.203158613	0.112009174	0.244716878	Bcl11a	chr11	24078876	24079249	DIV11	Promoter (<=1kb)	11	24078173	24168429	90257	1	ENSMUST00000109514	704	ENSMUSG00000000861	FOXG1_unique
ENSMUSG00000000876	1395.388366	-0.139506466	0.111634814	0.182580581	0.345589503	Pxmp4	chr2	154603468	154604092	DIV11	Promoter (<=1kb)	2	154585758	154603708	17951	2	ENSMUST00000000896	0	ENSMUSG00000000876	FOXG1_unique
ENSMUSG00000000884	485.2313486	0.013550448	0.14627716	0.928617573	0.960820669	Gnb1l	chr16	18498387	18498798	DIV11	Promoter (<=1kb)	16	18498768	18566679	67912	1	ENSMUST00000167778	0	ENSMUSG00000000884	FOXG1_unique
ENSMUSG00000000902	3461.967643	0.319481719	0.089848328	0.000211294	0.001637651	Smarcb1	chr10	75921541	75922035	DIV11	Promoter (<=1kb)	10	75896769	75921617	24849	2	ENSMUST00000000925	0	ENSMUSG00000000902	FOXG1_unique
ENSMUSG00000000915	2801.143603	-0.124414142	0.133124539	0.31110736	0.493444471	Hip1r	chr5	123969968	123970152	DIV11	Distal Intergenic	5	123973628	124003211	29584	1	ENSMUST00000000939	-3476	ENSMUSG00000000915	FOXG1_unique
ENSMUSG00000000916	574.3912901	-0.122027931	0.09223447	0.167014362	0.324359978	Nsun5	chr5	135368304	135368513	DIV11	Promoter (1-2kb)	5	135369953	135376798	6846	1	ENSMUST00000000940	-1440	ENSMUSG00000000916	FOXG1_unique
ENSMUSG00000000948	339.3754414	-0.806380628	0.18207965	1.15403E-06	1.84107E-05	RP24-177J9.4	chr7	60004996	60005469	DIV11	Promoter (<=1kb)	7	59982495	60005111	22617	2	ENSMUST00000059305	0	ENSMUSG00000000948	FOXG1_unique
ENSMUSG00000000958	56.70400434	-0.024321597	0.268388626	0.868466047	0.92855178	Slc7a7	chr14	54387629	54387813	DIV11	Intron (ENSMUST00000000984/ENSMUSG00000000958, intron 2 of 9)	14	54369444	54409472	40029	2	ENSMUST00000000984	21659	ENSMUSG00000000958	FOXG1_unique
ENSMUSG00000000959	2340.288833	0.234724436	0.078590227	0.002088896	0.011178907	Oxa1l	chr14	54360669	54361392	DIV11	Promoter (<=1kb)	14	54360841	54369669	8829	1	ENSMUST00000000985	0	ENSMUSG00000000959	FOXG1_unique
ENSMUSG00000000976	1449.851096	-0.270023838	0.103715123	0.005461457	0.024356221	Heatr6	chr11	83753571	83754467	DIV11	Promoter (<=1kb)	11	83753696	83783754	30059	1	ENSMUST00000001002	0	ENSMUSG00000000976	FOXG1_unique
ENSMUSG00000001016	4616.231496	0.225486459	0.076189055	0.002300745	0.01206683	Ilf2	chr3	90475711	90476499	DIV11	Promoter (<=1kb)	3	90476201	90488379	12179	1	ENSMUST00000001042	0	ENSMUSG00000001016	FOXG1_unique
ENSMUSG00000001017	6800.467531	-0.091332898	0.068761119	0.169417469	0.327705678	Chtop	chr3	90509183	90509682	DIV11	Promoter (<=1kb)	3	90498956	90509450	10495	2	ENSMUST00000107343	0	ENSMUSG00000001017	FOXG1_unique
