geneId	Chrom	Start	End	cluster_1	annotation	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000000214	chr7	142892775	142899966	cluster_5	Promoter (<=1kb)	32.0858322	0.15098687	0.254032149	0.38388716	0.56475273	Th
ENSMUSG00000000215	chr7	142678655	142679726	cluster_5	Promoter (<=1kb)	246.1757653	0.068216126	0.260923376	0.675920952	0.804637494	Ins2
ENSMUSG00000000244	chr7	143005045	143019485	cluster_5	Promoter (<=1kb)	9.189209939	0.116880734	0.330945731	0.323738717	0.50661462	Tspan32
ENSMUSG00000000248	chr6	128931792	128931845	cluster_5	Promoter (2-3kb)	1.158700213	-0.027073885	0.328256036	0.585669183	.	Clec2g
ENSMUSG00000000248	chr6	128934380	128984707	cluster_5	Promoter (<=1kb)	1.158700213	-0.027073885	0.328256036	0.585669183	.	Clec2g
ENSMUSG00000000248	chr6	128952352	128975029	cluster_5	Promoter (<=1kb)	1.158700213	-0.027073885	0.328256036	0.585669183	.	Clec2g
ENSMUSG00000000263	chr11	55514238	55608198	cluster_5	Promoter (<=1kb)	2.211074927	0.09790225	0.347026694	0.077233785	.	Glra1
ENSMUSG00000000275	chr11	88999402	89020293	cluster_5	Promoter (<=1kb)	769.4536205	-0.051190307	0.115685311	0.617213818	0.760761536	Trim25
ENSMUSG00000000290	chr10	77530347	77565674	cluster_5	Promoter (<=1kb)	58.8126985	-0.856397565	0.295200035	0.000378725	0.002690983	Itgb2
ENSMUSG00000000296	chr10	31413725	31414435	cluster_5	Intron (ENSMUST00000000305/ENSMUSG00000000296, intron 1 of 6)	540.4532135	-0.211540062	0.196050387	0.176812231	0.337459631	Tpd52l1
ENSMUSG00000000303	chr8	106587142	106594820	cluster_5	Distal Intergenic	9.007238638	0.200211044	0.411058938	0.023823426	0.077704747	Cdh1
ENSMUSG00000000303	chr8	106603349	106670247	cluster_5	Promoter (<=1kb)	9.007238638	0.200211044	0.411058938	0.023823426	0.077704747	Cdh1
ENSMUSG00000000320	chr11	70241454	70255341	cluster_5	Promoter (<=1kb)	51.39796423	-0.659847709	0.392334748	0.010735281	0.041794457	Alox12
ENSMUSG00000000359	chr2	152627007	152635191	cluster_5	Promoter (<=1kb)	3.34716168	-0.003430902	0.327012657	0.83082509	.	Rem1
ENSMUSG00000000365	chr14	56402696	56525031	cluster_5	Promoter (<=1kb)	25.48213032	-0.214003229	0.333241568	0.211550356	0.381446844	Rnf17
ENSMUSG00000000384	chr11	6620318	6620419	cluster_5	Promoter (<=1kb)	1045.430557	-0.352029847	0.118470562	0.001365074	0.007878484	Tbrg4
ENSMUSG00000000385	chr16	97564681	97611195	cluster_5	Promoter (<=1kb)	22.12579646	-0.080626396	0.269711415	0.610515132	0.754819558	Tmprss2
ENSMUSG00000000386	chr16	97447034	97462906	cluster_5	Promoter (<=1kb)	20.93935738	-0.712277909	0.900333099	0.016844124	0.058963739	Mx1
ENSMUSG00000000392	chr2	62500935	62574021	cluster_5	Promoter (<=1kb)	84.97465775	0.352581043	0.235517727	0.052867556	0.142022688	Fap
ENSMUSG00000000409	chr4	129548343	129558372	cluster_5	Promoter (<=1kb)	154.7062624	0.148831554	0.241797637	0.385790219	0.566503226	Lck
ENSMUSG00000000409	chr4	129557682	129557811	cluster_5	Promoter (<=1kb)	154.7062624	0.148831554	0.241797637	0.385790219	0.566503226	Lck
ENSMUSG00000000439	chr6	115601937	115618670	cluster_5	Promoter (<=1kb)	2011.537548	0.224515645	0.116792711	0.039452484	0.113914401	Mkrn2
ENSMUSG00000000486	chr7	127214441	127218445	cluster_5	Promoter (<=1kb)	63.81006926	0.348116659	0.261029334	0.067332702	0.170110306	Sept1
ENSMUSG00000000489	chr15	79998969	79999026	cluster_5	Intron (ENSMUST00000000500/ENSMUSG00000000489, intron 5 of 6)	1441.314794	-0.679749379	0.171253578	1.10951E-05	0.000132415	Pdgfb
ENSMUSG00000000530	chr15	101128521	101145336	cluster_5	Promoter (<=1kb)	173.1977785	0.304567948	0.202454558	0.064244281	0.164360385	Acvrl1
ENSMUSG00000000532	chr15	101193868	101193931	cluster_5	Intron (ENSMUST00000000544/ENSMUSG00000000532, intron 1 of 8)	5462.015673	-0.102412549	0.118440671	0.352360761	0.534285723	Acvr1b
ENSMUSG00000000552	chr15	103350454	103350525	cluster_5	Intron (ENSMUST00000023128/ENSMUSG00000000555, intron 22 of 29)	2713.910803	0.391828693	0.118067556	0.000367242	0.002620434	Zfp385a
ENSMUSG00000000555	chr15	103344285	103366791	cluster_5	Promoter (<=1kb)	1766.888456	-0.902001068	0.098914484	9.05225E-21	2.34767E-18	Itga5
ENSMUSG00000000627	chr6	82877865	82881853	cluster_5	Distal Intergenic	3993.051029	-0.632526037	0.197906033	0.000262309	0.001959161	Sema4f
ENSMUSG00000000631	chr11	77777234	77865988	cluster_5	Promoter (<=1kb)	7976.89526	-0.20221116	0.078107767	0.007153926	0.03026914	Myo18a
ENSMUSG00000000673	chr17	83831353	83846790	cluster_5	Promoter (<=1kb)	1.810816247	0.045221252	0.328048954	0.431999328	.	Haao
ENSMUSG00000000682	chr4	134093537	134095073	cluster_5	Promoter (<=1kb)	20.42458575	-0.231412038	0.412474739	0.100531494	0.226842022	Cd52
ENSMUSG00000000690	chr11	96291036	96306910	cluster_5	Promoter (<=1kb)	1.608847613	0.003333583	0.321141371	0.959045483	.	Hoxb6
ENSMUSG00000000693	chr6	83034223	83052564	cluster_5	Promoter (<=1kb)	1088.307699	-0.558991398	0.179043559	0.000370739	0.002640732	Loxl3
ENSMUSG00000000693	chr6	83049710	83049773	cluster_5	Promoter (<=1kb)	1088.307699	-0.558991398	0.179043559	0.000370739	0.002640732	Loxl3
ENSMUSG00000000730	chr10	78030021	78043610	cluster_5	Promoter (<=1kb)	3.098580092	-0.004033301	0.321534412	0.949497082	.	Dnmt3l
ENSMUSG00000000730	chr10	78042286	78063622	cluster_5	Promoter (<=1kb)	3.098580092	-0.004033301	0.321534412	0.949497082	.	Dnmt3l
ENSMUSG00000000732	chr10	78069367	78079525	cluster_5	Promoter (<=1kb)	302.2837099	0.055693489	0.225708722	0.732607733	0.844079587	Icosl
ENSMUSG00000000739	chr8	123142846	123158280	cluster_5	Promoter (<=1kb)	10.21030826	-0.04994641	0.295878979	0.712036771	0.830381174	Sult5a1
ENSMUSG00000000766	chr10	6758592	6850572	cluster_5	Promoter (<=1kb)	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1
ENSMUSG00000000782	chr11	52252282	52283014	cluster_5	Promoter (<=1kb)	945.6350888	-0.600031911	0.279672692	0.004854243	0.022106368	Tcf7
ENSMUSG00000000791	chr8	70808448	70821423	cluster_5	Promoter (<=1kb)	10.63866819	-0.012234044	0.304074144	0.909336118	0.950166957	Il12rb1
ENSMUSG00000000792	chr8	70882888	70892757	cluster_5	Promoter (<=1kb)	90.43397499	0.29324786	0.344225817	0.113117459	0.246446211	Slc5a5
ENSMUSG00000000805	chr11	84957753	84966054	cluster_5	Promoter (<=1kb)	8.07368549	-0.014597	0.30995189	0.877317373	0.933083761	Car4
ENSMUSG00000000817	chr1	161780691	161788495	cluster_5	Promoter (<=1kb)	6.298998199	-0.153859161	0.340069742	0.254560753	0.432586481	Fasl
ENSMUSG00000000823	chr2	181587899	181587968	cluster_5	Promoter (<=1kb)	4976.79114	-0.694650738	0.102010048	1.71439E-12	9.9371E-11	Zfp512b
ENSMUSG00000000869	chr11	53612460	53618665	cluster_5	Promoter (<=1kb)	2.935089985	-0.053441821	0.322698866	0.515444269	.	Il4
ENSMUSG00000000901	chr10	75923221	75932502	cluster_5	Promoter (<=1kb)	501.5505174	0.20303804	0.166208711	0.156509991	0.309485885	Mmp11
ENSMUSG00000000903	chr10	75948311	75949646	cluster_5	Promoter (<=1kb)	16.52146678	0.137132286	0.328338749	0.32059661	0.503462984	Vpreb3
ENSMUSG00000000915	chr5	123996851	123996930	cluster_5	Promoter (2-3kb)	2801.143603	-0.124414142	0.133124539	0.31110736	0.493444471	Hip1r
ENSMUSG00000000916	chr5	135383729	135383810	cluster_5	Intron (ENSMUST00000065638/ENSMUSG00000053293, intron 8 of 12)	574.3912901	-0.122027931	0.09223447	0.167014362	0.324359978	Nsun5
ENSMUSG00000000938	chr6	52231196	52240854	cluster_5	Promoter (<=1kb)	1.296598329	0.027685496	0.326326833	0.512717893	.	Hoxa10
ENSMUSG00000000948	chr7	59982501	60097608	cluster_5	Promoter (<=1kb)	339.3754414	-0.806380628	0.18207965	1.15403E-06	1.84107E-05	RP24-177J9.4
ENSMUSG00000000957	chr14	54431597	54442456	cluster_5	Promoter (<=1kb)	3831.321383	-0.090674618	0.102642056	0.351120247	0.533244105	Mmp14
ENSMUSG00000000958	chr14	54369441	54417702	cluster_5	Promoter (<=1kb)	56.70400434	-0.024321597	0.268388626	0.868466047	0.92855178	Slc7a7
ENSMUSG00000000982	chr11	83647842	83649378	cluster_5	Promoter (<=1kb)	14.34998169	-0.440913565	0.901753124	0.010187805	0.040110074	Ccl3
ENSMUSG00000001021	chr3	90600214	90602702	cluster_5	Promoter (<=1kb)	20.26094662	0.087095152	0.299484559	0.539804293	0.70012984	S100a3
ENSMUSG00000001025	chr3	90612893	90614414	cluster_5	Promoter (<=1kb)	2518.234915	-0.268749431	0.252667051	0.131610179	0.274326874	S100a6
ENSMUSG00000001027	chr11	106318592	106349390	cluster_5	Promoter (<=1kb)	3.731851022	0.052272402	0.327894506	0.41676887	.	Scn4a
ENSMUSG00000001029	chr11	106377655	106382641	cluster_5	Promoter (<=1kb)	3.886967011	-0.015774526	0.323883656	0.874037472	.	Icam2
ENSMUSG00000001076	chr15	99084753	99087728	cluster_5	Promoter (<=1kb)	4.351797998	0.004627221	0.316379416	0.957151956	.	C1ql4
ENSMUSG00000001123	chr11	78962978	78984924	cluster_5	Promoter (<=1kb)	886.9747664	0.156529176	0.114937971	0.150875177	0.30122917	Lgals9
ENSMUSG00000001151	chr10	76389014	76401507	cluster_5	Exon (ENSMUST00000001179/ENSMUSG00000001151, exon 18 of 42)	621.7243414	0.063992019	0.103115924	0.508184577	0.67304346	Pcnt
ENSMUSG00000001158	chr6	86675168	86684491	cluster_5	Promoter (<=1kb)	1325.288612	0.437396325	0.119094299	7.93859E-05	0.000715322	Snrnp27
ENSMUSG00000001211	chr10	78340149	78340207	cluster_5	Intron (ENSMUST00000001240/ENSMUSG00000001211, intron 1 of 9)	9452.965862	-0.352743661	0.092431439	6.57866E-05	0.000612424	Agpat3
ENSMUSG00000001225	chr12	31438218	31473919	cluster_5	Promoter (<=1kb)	3.315845326	-0.057604058	0.330789616	0.24713463	.	Slc26a3
ENSMUSG00000001227	chr17	56123084	56133852	cluster_5	Promoter (<=1kb)	4351.749462	-0.175761837	0.170018942	0.228253551	0.400797217	Sema6b
ENSMUSG00000001228	chr17	56303336	56323486	cluster_5	Promoter (<=1kb)	694.7837895	-0.623970331	0.322601718	0.006084744	0.026579202	Uhrf1
ENSMUSG00000001240	chr11	101246333	101248250	cluster_5	Promoter (<=1kb)	314.1694681	-1.139763083	0.163113256	2.46156E-13	1.66538E-11	Ramp2
ENSMUSG00000001247	chr7	30957769	30973469	cluster_5	Promoter (<=1kb)	71.82849019	0.441628357	0.346802345	0.043773744	0.123535027	Lsr
ENSMUSG00000001248	chr7	31162357	31170641	cluster_5	Distal Intergenic	5328.255355	-0.329628442	0.104076513	0.000816642	0.005144771	Gramd1a
ENSMUSG00000001249	chr7	31098724	31115326	cluster_5	Promoter (<=1kb)	53.32058806	-0.049396896	0.251225034	0.760609307	0.862222789	Hpn
ENSMUSG00000001281	chr15	102215994	102231935	cluster_5	Promoter (<=1kb)	21.77259105	-0.108822484	0.285806479	0.489687973	0.6575002	Itgb7
ENSMUSG00000001288	chr15	102234937	102257522	cluster_5	Promoter (<=1kb)	687.884805	0.211866534	0.122849375	0.062279756	0.16082299	Rarg
ENSMUSG00000001333	chr4	129287620	129308559	cluster_5	Promoter (<=1kb)	445.3583375	-0.088450537	0.220674404	0.589927805	0.738651249	Sync
ENSMUSG00000001348	chr9	22057712	22379223	cluster_5	Promoter (<=1kb)	33.54518853	0.378313429	0.421189959	0.071285768	0.177046017	Acp5
ENSMUSG00000001348	chr9	22126726	22131865	cluster_5	Promoter (<=1kb)	33.54518853	0.378313429	0.421189959	0.071285768	0.177046017	Acp5
ENSMUSG00000001349	chr9	22099252	22109221	cluster_5	Promoter (<=1kb)	1382.620634	0.125895502	0.312364517	0.378825713	0.560511075	Cnn1
ENSMUSG00000001420	chr3	88328652	88334433	cluster_5	Promoter (<=1kb)	39.36060805	-0.351308207	0.353431797	0.084583049	0.2009431	Tmem79
ENSMUSG00000001435	chr10	77052178	77113705	cluster_5	Promoter (<=1kb)	19534.58091	0.152820728	0.158782649	0.26780103	0.447012709	Col18a1
ENSMUSG00000001444	chr11	97098006	97115331	cluster_5	Promoter (<=1kb)	13.66899176	0.054367629	0.294777011	0.693305643	0.816894548	Tbx21
ENSMUSG00000001473	chr18	67390730	67402749	cluster_5	Promoter (<=1kb)	2555.126941	-0.023145748	0.116775533	0.828628025	0.904187911	Tubb6
ENSMUSG00000001494	chr11	101962457	101967015	cluster_5	Promoter (<=1kb)	3.353271294	0.095447003	0.342429333	0.151217789	.	Sost
ENSMUSG00000001496	chr12	56490427	56529420	cluster_5	Downstream (2-3kb)	199.6854974	0.55190726	0.38731238	0.019376483	0.065987689	Nkx2-1
ENSMUSG00000001496	chr12	56531934	56535106	cluster_5	Promoter (<=1kb)	199.6854974	0.55190726	0.38731238	0.019376483	0.065987689	Nkx2-1
ENSMUSG00000001497	chr12	56695470	56712822	cluster_5	Promoter (<=1kb)	3.45798442	-0.017296741	0.321410581	0.862186609	.	Pax9
ENSMUSG00000001504	chr13	72809600	72816763	cluster_5	Distal Intergenic	22.30673828	-0.280093998	0.395669298	0.130327898	0.272327555	Irx2
ENSMUSG00000001506	chr11	94936223	94953042	cluster_5	Promoter (<=1kb)	14392.32931	0.171649191	0.179929313	0.262152941	0.44067574	Col1a1
ENSMUSG00000001507	chr11	95044474	95069198	cluster_5	Promoter (<=1kb)	6759.398585	-0.61205668	0.147245255	6.99228E-06	8.84596E-05	Itga3
ENSMUSG00000001508	chr11	94962776	94976327	cluster_5	Promoter (<=1kb)	324.1638268	-0.232491594	0.164476807	0.103260296	0.231074606	Sgca
ENSMUSG00000001510	chr11	95120116	95125291	cluster_5	Promoter (<=1kb)	2.439923793	0.02549015	0.325766662	0.694014964	.	Dlx3
ENSMUSG00000001555	chr11	100415693	100424840	cluster_5	Promoter (<=1kb)	4033.955292	-0.467333093	0.074647854	1.33564E-10	5.41102E-09	Fkbp10
ENSMUSG00000001558	chr11	100441923	100457024	cluster_5	Promoter (<=1kb)	44.62878793	0.247877526	0.257891738	0.171443085	0.330580705	Klhl10
ENSMUSG00000001588	chr11	69881566	69895539	cluster_5	Promoter (<=1kb)	2.955657894	-0.110935962	0.34072739	0.239391116	.	Acap1
ENSMUSG00000001604	chr4	136247956	136274899	cluster_5	Promoter (<=1kb)	679.1190759	0.216829627	0.171372714	0.138420896	0.283670987	Tcea3
ENSMUSG00000001622	chr5	87908587	87979351	cluster_5	Promoter (<=1kb)	9.906505846	-0.341308928	0.530885335	0.046092489	0.127989699	Csn3
ENSMUSG00000001622	chr5	87908778	87914171	cluster_5	Distal Intergenic	9.906505846	-0.341308928	0.530885335	0.046092489	0.127989699	Csn3
ENSMUSG00000001622	chr5	87925632	87932264	cluster_5	Promoter (<=1kb)	9.906505846	-0.341308928	0.530885335	0.046092489	0.127989699	Csn3
ENSMUSG00000001655	chr15	102921130	102928814	cluster_5	Promoter (<=1kb)	33.34760989	0.185965354	0.279409177	0.293700886	0.474732339	Hoxc13
ENSMUSG00000001665	chr10	75774121	75781414	cluster_5	Promoter (<=1kb)	315.9869664	0.933251906	0.230866463	4.74242E-06	6.34487E-05	Gstt3
ENSMUSG00000001729	chr12	112659276	112659351	cluster_5	Promoter (<=1kb)	7728.220017	-0.312797473	0.080867194	6.2502E-05	0.00058562	Akt1
ENSMUSG00000001739	chr5	136967868	136975845	cluster_5	Promoter (<=1kb)	8.388671335	-0.090962594	0.317324966	0.436803605	0.612894509	Cldn15
ENSMUSG00000001750	chr19	3896049	3906983	cluster_5	Promoter (<=1kb)	908.4820277	-0.200855887	0.109164453	0.053030195	0.142406453	Tcirg1
ENSMUSG00000001761	chr6	29735496	29761366	cluster_5	Promoter (<=1kb)	2716.375628	-0.116020999	0.13514924	0.351786621	0.533775244	Smo
ENSMUSG00000001768	chr2	145786115	145887616	cluster_5	Promoter (<=1kb)	1520.694903	0.383929018	0.153854624	0.005007964	0.022694019	Rin2
ENSMUSG00000001804	chr18	20436174	20471821	cluster_5	Promoter (<=1kb)	2.485974401	-0.052905185	0.329164106	0.389909772	.	Dsg4
ENSMUSG00000001827	chr7	101858330	101870788	cluster_5	Promoter (<=1kb)	2538.974161	0.939800623	0.306901455	0.000201577	0.001582348	Folr1
ENSMUSG00000001855	chr2	32050945	32051008	cluster_5	Promoter (<=1kb)	1987.390525	-0.108531739	0.129108748	0.358894213	0.541104083	Nup214
ENSMUSG00000001864	chr2	31950302	31973442	cluster_5	Promoter (<=1kb)	509.791532	-0.13915419	0.192319482	0.366712425	0.548239276	Aif1l
ENSMUSG00000001865	chr3	20215615	20242181	cluster_5	Promoter (<=1kb)	4.793124415	0.049246531	0.322647707	0.502552817	0.668165688	Cpa3
ENSMUSG00000001865	chr3	20222289	20222359	cluster_5	Intron (ENSMUST00000001921/ENSMUSG00000001865, intron 8 of 10)	4.793124415	0.049246531	0.322647707	0.502552817	0.668165688	Cpa3
ENSMUSG00000001901	chr11	106008202	106034064	cluster_5	Promoter (<=1kb)	22.13884831	-0.013440357	0.256462731	0.934092259	0.963823122	Kcnh6
ENSMUSG00000001918	chr7	16781345	16798274	cluster_5	Promoter (<=1kb)	442.294046	-0.208080771	0.183369537	0.17136575	0.33049459	Slc1a5
ENSMUSG00000001930	chr6	125552947	125686679	cluster_5	Promoter (<=1kb)	42.99268026	-0.458087456	0.297205647	0.029168729	0.090564946	Vwf
ENSMUSG00000001946	chr9	37528088	37538319	cluster_5	Promoter (<=1kb)	17.87604889	0.033805937	0.287106077	0.813831338	0.895311841	Esam
ENSMUSG00000001988	chr7	16455720	16476780	cluster_5	Promoter (<=1kb)	228.3750136	0.268932591	0.263647088	0.146518072	0.295151771	Npas1
ENSMUSG00000001995	chr8	125418062	125492710	cluster_5	Promoter (<=1kb)	1682.483873	0.173778684	0.181524159	0.26978119	0.448947327	Sipa1l2
ENSMUSG00000002058	chr11	78343494	78349164	cluster_5	Promoter (<=1kb)	2404.16333	0.692052271	0.101630683	1.71992E-12	9.94064E-11	Unc119
ENSMUSG00000002068	chr7	38097983	38107490	cluster_5	Promoter (<=1kb)	590.8974488	-0.348668986	0.184972516	0.025885158	0.082787488	Ccne1
ENSMUSG00000002076	chr17	31944768	32034508	cluster_5	Promoter (<=1kb)	24.41208318	-0.231771669	0.356785433	0.170745351	0.329612339	Hsf2bp
ENSMUSG00000002100	chr2	91118143	91136516	cluster_5	Promoter (<=1kb)	4.610635878	-0.071837817	0.327635781	0.403260654	0.58351767	Mybpc3
ENSMUSG00000002104	chr2	91035626	91045729	cluster_5	Promoter (<=1kb)	27.71552505	-0.186659377	0.348207027	0.207526869	0.376401727	Rapsn
ENSMUSG00000002111	chr2	91096677	91115759	cluster_5	Promoter (<=1kb)	13.48265727	-0.003021902	0.311986134	0.963119287	0.980323038	Spi1
ENSMUSG00000002147	chr10	127642985	127660987	cluster_5	Promoter (<=1kb)	501.8845479	0.170519125	0.124572696	0.138062038	0.283107651	Stat6
ENSMUSG00000002190	chr8	83389890	83426829	cluster_5	Promoter (<=1kb)	548.9436186	-1.345287464	0.216141911	3.64445E-11	1.6493E-09	Clgn
ENSMUSG00000002204	chr7	44572444	44586846	cluster_5	Promoter (<=1kb)	6.932402486	-0.017627654	0.318705138	0.816325523	0.896592953	Napsa
ENSMUSG00000002227	chr3	104794833	104818305	cluster_5	Promoter (<=1kb)	688.2693827	0.081372488	0.120472949	0.46737056	0.638597707	Mov10
ENSMUSG00000002228	chr3	104781055	104786017	cluster_5	Promoter (<=1kb)	19.22288769	-0.122375992	0.285398232	0.450618294	0.624630472	Ppm1j
ENSMUSG00000002233	chr3	104789033	104794459	cluster_5	Promoter (<=1kb)	2420.673223	-0.382298392	0.133691091	0.001701099	0.009448527	Rhoc
ENSMUSG00000002249	chr17	28331672	28350600	cluster_5	Promoter (<=1kb)	669.2862802	0.092950119	0.126866427	0.425171899	0.603562452	Tead3
ENSMUSG00000002250	chr17	28232753	28301469	cluster_5	Promoter (<=1kb)	1298.616746	0.080762466	0.159294569	0.560025104	0.715831406	Ppard
ENSMUSG00000002250	chr17	28271707	28273163	cluster_5	Promoter (<=1kb)	1298.616746	0.080762466	0.159294569	0.560025104	0.715831406	Ppard
ENSMUSG00000002257	chr17	28207777	28228608	cluster_5	Promoter (<=1kb)	238.3852957	-0.059118082	0.176507426	0.689558483	0.814283917	Def6
ENSMUSG00000002266	chr7	6651747	6662368	cluster_5	Distal Intergenic	1948.556361	-0.846707686	0.244502031	5.22052E-05	0.00050193	Zim1
ENSMUSG00000002266	chr7	6706759	6707624	cluster_5	Exon (ENSMUST00000051209/ENSMUSG00000002265, exon 1 of 9)	1948.556361	-0.846707686	0.244502031	5.22052E-05	0.00050193	Zim1
ENSMUSG00000002274	chr17	25794570	25797045	cluster_5	Promoter (<=1kb)	6049.657152	-0.237115742	0.248462254	0.173581884	0.333281279	Metrn
ENSMUSG00000002280	chr17	25780807	25780879	cluster_5	Exon (ENSMUST00000149645/ENSMUSG00000002280, exon 7 of 8)	970.9330959	0.100219521	0.111125826	0.336572492	0.519050149	Narfl
ENSMUSG00000002289	chr17	33774899	33781575	cluster_5	Promoter (<=1kb)	19.83382034	-0.012995503	0.280219899	0.927080426	0.960257413	Angptl4
ENSMUSG00000002324	chr14	55618165	55625395	cluster_5	Promoter (<=1kb)	619.3247416	-0.027805575	0.236061254	0.861361966	0.925048124	Rec8
ENSMUSG00000002325	chr14	55603984	55610030	cluster_5	Promoter (<=1kb)	1041.277968	-0.203390922	0.113472064	0.054697953	0.146012787	Irf9
ENSMUSG00000002341	chr8	70102523	70102586	cluster_5	Intron (ENSMUST00000002412/ENSMUSG00000002341, intron 9 of 14)	21504.4993	-0.476345803	0.082167004	2.26257E-09	7.0091E-08	Ncan
ENSMUSG00000002345	chr8	70152760	70167488	cluster_5	Promoter (<=1kb)	1223.926698	0.049444054	0.096411452	0.592794423	0.740819076	Borcs8
ENSMUSG00000002379	chr17	56734227	56739292	cluster_5	Distal Intergenic	4524.042677	0.097565991	0.105392146	0.327786361	0.510571364	Ndufa11
ENSMUSG00000002384	chr4	123105160	123126094	cluster_5	Promoter (<=1kb)	18.9168224	-0.591782815	0.480879636	0.023695495	0.077362198	Bmp8b
ENSMUSG00000002393	chr8	71374118	71381952	cluster_5	Promoter (<=1kb)	1758.606644	0.038228143	0.148530316	0.774640084	0.870421278	Nr2f6
ENSMUSG00000002458	chr2	181688418	181693977	cluster_5	Promoter (<=1kb)	1229.115354	-0.29040118	0.124707452	0.011664182	0.04465457	Rgs19
ENSMUSG00000002486	chr5	114719514	114719578	cluster_5	Promoter (1-2kb)	938.4272558	0.243925319	0.100754989	0.010710297	0.04172408	Tchp
ENSMUSG00000002489	chr16	89787110	89974699	cluster_5	Promoter (<=1kb)	1962.285446	0.311591482	0.233860619	0.081039952	0.194645389	Tiam1
ENSMUSG00000002500	chr17	24727828	24736149	cluster_5	Promoter (<=1kb)	17.62839789	0.143504853	0.323829961	0.315727176	0.498349333	Rpl3l
ENSMUSG00000002504	chr17	24639281	24644957	cluster_5	Promoter (<=1kb)	1250.576728	0.188189895	0.089892177	0.029112241	0.090504307	Slc9a3r2
ENSMUSG00000002565	chr12	40059770	40134228	cluster_5	Promoter (<=1kb)	7.39755108	-0.10889282	0.333434253	0.307913199	0.490030376	Scin
ENSMUSG00000002588	chr6	5168089	5193946	cluster_5	Promoter (<=1kb)	88.75267959	0.012908592	0.319412484	0.869594291	0.929070609	Pon1
ENSMUSG00000002602	chr7	25756499	25788733	cluster_5	Promoter (<=1kb)	3077.229274	-0.425371628	0.087614925	4.34035E-07	7.65484E-06	Axl
ENSMUSG00000002603	chr7	25687001	25705077	cluster_5	Promoter (<=1kb)	146.8123631	-0.442522422	0.234638383	0.017146271	0.059853653	Tgfb1
ENSMUSG00000002633	chr5	28456839	28467101	cluster_5	Promoter (<=1kb)	351.4514538	-0.316979593	0.358703059	0.100682116	0.227082008	Shh
ENSMUSG00000002633	chr5	28466983	28719209	cluster_5	Promoter (<=1kb)	351.4514538	-0.316979593	0.358703059	0.100682116	0.227082008	Shh
ENSMUSG00000002668	chr17	57066054	57078510	cluster_5	Promoter (<=1kb)	3.630743196	-0.030496586	0.317213714	0.732568876	.	Dennd1c
ENSMUSG00000002699	chr11	34047200	34092280	cluster_5	Promoter (<=1kb)	62.53795392	0.003676025	0.212899568	0.983321778	0.990986531	Lcp2
ENSMUSG00000002769	chr17	46725663	46729165	cluster_5	Promoter (<=1kb)	14.24055697	-0.024695305	0.282223317	0.862093138	0.925357216	Gnmt
ENSMUSG00000002771	chr7	45832482	45866681	cluster_5	Promoter (<=1kb)	738.9312264	0.203109044	0.210006279	0.218143469	0.389531628	Grin2d
ENSMUSG00000002778	chr7	45872839	45883726	cluster_5	Promoter (<=1kb)	3908.615477	0.011330857	0.119286233	0.91774381	0.955188286	Kdelr1
ENSMUSG00000002799	chr12	112908589	112929495	cluster_5	Promoter (<=1kb)	2428.342301	-0.225874186	0.125153885	0.055567771	0.147846961	Jag2
