Chrom	Start	End	X17_67124392_67124520	X18.2852730981878	X.0.22270934926077202	X0.24577446659602803	X0.569318191041132	ENSMUSG00000033278.10	Ptprm	intron	ENSMUSG00000033278.10.1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr16	8663801	8663932	16_8663801_8663932	40.737593665965	-0.129061178609692	0.545770757247598	0.797056213439197	ENSMUSG00000008393.9	Carhsp1	intron	ENSMUSG00000008393.9	Intron (ENSMUST00000008537/ENSMUSG00000008393, intron 2 of 3)	16	8658587	8672153	13567	2	ENSMUST00000008537	8221	ENSMUSG00000008393	ENSMUSG00000008393
chr16	6986172	6986367	16_6986172_6986367	24.2067527313762	-0.141719279490024	0.49046748505638	0.760389598374848	ENSMUSG00000008658.16	Rbfox1	intron	ENSMUSG00000008658.16	Intron (ENSMUST00000115841/ENSMUSG00000008658, intron 1 of 12)	16	7069835	7412479	342645	1	ENSMUST00000056416	-83468	ENSMUSG00000008658	ENSMUSG00000008658
chr9	78113180	78113397	9_78113180_78113397	104.912332176661	0.0390415965059297	0.834535264982404	0.938762582125033	ENSMUSG00000009828.15	Ick	promoter-TSS	ENSMUSG00000009828.15	Promoter (<=1kb)	9	78113241	78134119	20879	1	ENSMUST00000142776	0	ENSMUSG00000009828	ENSMUSG00000009828
chr19	10188327	10188722	19_10188327_10188722	154.480199927067	0.185585287528682	0.272777227471883	0.597893001077239	ENSMUSG00000010663.4	Fads1	intron	ENSMUSG00000010663.4	Intron (ENSMUST00000010807/ENSMUSG00000010663, intron 5 of 11)	19	10182888	10196870	13983	1	ENSMUST00000010807	5440	ENSMUSG00000010663	ENSMUSG00000010663
chr11	101984142	101984371	11_101984142_101984371	109.5048563493	-0.00218320572110688	0.99060015876546	0.995922738699844	ENSMUSG00000003518.13	Dusp3	promoter-TSS	ENSMUSG00000010841.13	Promoter (<=1kb)	11	101984279	101992256	7978	1	ENSMUST00000176722	0	ENSMUSG00000010841	ENSMUSG00000010841
chr7	44896027	44896203	7_44896027_44896203	86.1357216405119	0.0462142510719866	0.813410881377228	0.930488766773646	ENSMUSG00000011658.16	Fuz	promoter-TSS	ENSMUSG00000011658.16	Promoter (<=1kb)	7	44896079	44900623	4545	1	ENSMUST00000071207	0	ENSMUSG00000011658	ENSMUSG00000011658
chr5	107793398	107793540	5_107793398_107793540	37.343588595053	-0.075425135056336	0.724334500833496	0.891365503995616	ENSMUSG00000011831.16	Evi5	intron	ENSMUSG00000011831.16	Intron (ENSMUST00000112642/ENSMUSG00000011831, intron 14 of 17)	5	107764762	107799546	34785	2	ENSMUST00000136677	6006	ENSMUSG00000011831	ENSMUSG00000011831
chr16	18345327	18345499	16_18345327_18345499	71.5800351823389	0.216677904562425	0.283813325579318	0.606931827031112	ENSMUSG00000013539.14	Tango2	intron	ENSMUSG00000013539.14	Promoter (1-2kb)	16	18300827	18343927	43101	2	ENSMUST00000115628	-1401	ENSMUSG00000013539	ENSMUSG00000013539
chr8	105289098	105289280	8_105289098_105289280	97.1608032910546	-0.0263050732174614	0.890358911252828	0.960363974193998	ENSMUSG00000110611.1	RP23-127B8.7	promoter-TSS	ENSMUSG00000110611.1	Promoter (<=1kb)	8	105280410	105289528	9119	2	ENSMUST00000014981	248	ENSMUSG00000014837	ENSMUSG00000014837
chr2	26933376	26933748	2_26933376_26933748	144.870301794954	-0.0886431501613224	0.606187744632258	0.830479557782734	ENSMUSG00000014867.9	Surf4	promoter-TSS	ENSMUSG00000014867.9	Promoter (<=1kb)	2	26921962	26933383	11422	2	ENSMUST00000153641	0	ENSMUSG00000014867	ENSMUSG00000014867
chr7	28766411	28766809	7_28766411_28766809	318.043803016667	0.157327588813194	0.233858638105779	0.556971047116692	ENSMUSG00000015149.14	Sirt2	promoter-TSS	ENSMUSG00000030595.15	Promoter (<=1kb)	7	28766735	28788660	21926	1	ENSMUST00000122915	0	ENSMUSG00000015149	ENSMUSG00000015149
chr4	52985290	52985432	4_52985290_52985432	25.4975713654198	-0.266586941882903	0.201611138659867	0.523240605340012			Intergenic	Intergenic	Distal Intergenic	4	52989272	53000847	11576	1	ENSMUST00000015386	-3840	ENSMUSG00000015242	ENSMUSG00000015242
chr17	34627463	34627610	17_34627463_34627610	51.1840727337987	-0.0600350386858056	0.776391725696836	0.914746921962477	ENSMUSG00000015474.16	Ppt2	promoter-TSS	ENSMUSG00000092176.1	Promoter (<=1kb)	17	34617229	34627485	10257	2	ENSMUST00000168391	0	ENSMUSG00000015474	ENSMUSG00000015474
chr10	13967443	13967628	10_13967443_13967628	106.783324573756	0.141372072513208	0.446572029860432	0.729996368021056	ENSMUSG00000015501.10	Hivep2	intron	ENSMUSG00000015501.10	Promoter (1-2kb)	10	13966379	14151376	184998	1	ENSMUST00000015645	1065	ENSMUSG00000015501	ENSMUSG00000015501
chr17	46553229	46553364	17_46553229_46553364	99.7072984595436	-0.232046715542539	0.237671392555033	0.560771924803473	ENSMUSG00000015605.5	Srf	TTS	ENSMUSG00000106514.1	Promoter (2-3kb)	17	46546839	46556162	9324	2	ENSMUST00000015749	2798	ENSMUSG00000015605	ENSMUSG00000015605
chr2	26916383	26916594	2_26916383_26916594	52.3965986489161	-0.160783809664381	0.446552935658787	0.729996368021056	ENSMUSG00000014873.15	Surf2	promoter-TSS	ENSMUSG00000015790.16	Promoter (<=1kb)	2	26913383	26916468	3086	2	ENSMUST00000150776	0	ENSMUSG00000015790	ENSMUSG00000015790
chr11	50210031	50210359	11_50210031_50210359	178.825651939919	0.0780171087323236	0.631513468377954	0.843758411578104	ENSMUSG00000015837.15	Sqstm1	promoter-TSS	ENSMUSG00000036620.14	Promoter (<=1kb)	11	50200611	50210765	10155	2	ENSMUST00000143379	406	ENSMUSG00000015837	ENSMUSG00000015837
chr15	77956668	77956867	15_77956668_77956867	81.1018896123106	-0.21964082335	0.268508639379871	0.594044638133705	ENSMUSG00000016552.13	Foxred2	promoter-TSS	ENSMUSG00000016552.13	Promoter (<=1kb)	15	77940522	77956722	16201	2	ENSMUST00000016696	0	ENSMUSG00000016552	ENSMUSG00000016552
chr11	100441015	100441151	11_100441015_100441151	35.0578385107639	0.0913556770199743	0.669018023889655	0.863160951695782	ENSMUSG00000001558.5	Klhl10	promoter-TSS	ENSMUSG00000017176.17	Promoter (<=1kb)	11	100422321	100441089	18769	2	ENSMUST00000107399	0	ENSMUSG00000017176	ENSMUSG00000017176
chr2	164497391	164497564	2_164497391_164497564	36.5257757011791	-0.0986465186332583	0.644135160808117	0.849628855243059	ENSMUSG00000017721.15	Pigt	promoter-TSS	ENSMUSG00000017721.15	Promoter (<=1kb)	2	164497520	164508301	10782	1	ENSMUST00000103101	0	ENSMUSG00000017721	ENSMUSG00000017721
chr8	105951137	105951272	8_105951137_105951272	43.7287966889776	-0.133356992527263	0.531024688906896	0.787170880408414	ENSMUSG00000099131.1	Mir7074	TTS	ENSMUSG00000099131.1	Promoter (2-3kb)	8	105946691	105948173	1483	2	ENSMUST00000141326	-2965	ENSMUSG00000017765	ENSMUSG00000017765
chr2	163401369	163401494	2_163401369_163401494	25.4423344187331	0.153873265619274	0.457642280211763	0.737432901134465			Intergenic	Intergenic	Distal Intergenic	2	163336242	163397993	61752	2	ENSMUST00000109425	-3377	ENSMUSG00000017817	ENSMUSG00000017817
chr11	53567201	53567405	11_53567201_53567405	82.2905583485604	0.217634076673017	0.270857243155718	0.596474799646868	ENSMUSG00000086851.1	RP23-188H3.3	promoter-TSS	ENSMUSG00000018395.19	Promoter (<=1kb)	11	53567379	53601105	33727	1	ENSMUST00000057330	0	ENSMUSG00000018395	ENSMUSG00000018395
chr1	51650452	51650589	1_51650452_51650589	37.910638943879	-0.15013549858215	0.482386995806729	0.754951120046225			Intergenic	Intergenic	Distal Intergenic	1	51760353	51764470	4118	2	ENSMUST00000145367	113881	ENSMUSG00000018417	ENSMUSG00000018417
chr7	16452715	16452958	7_16452715_16452958	128.840380756237	0.0328854891381103	0.852980959767733	0.945991116726783	ENSMUSG00000019158.9	Tmem160	promoter-TSS	ENSMUSG00000019158.9	Promoter (<=1kb)	7	16452779	16455489	2711	1	ENSMUST00000019302	0	ENSMUSG00000019158	ENSMUSG00000019158
chr10	97313719	97313916	10_97313719_97313916	77.6093206464126	0.204930763674102	0.30537398851801	0.625373360620408			Intergenic	Intergenic	Distal Intergenic	10	97479500	97518162	38663	1	ENSMUST00000105287	-165584	ENSMUSG00000019929	ENSMUSG00000019929
chr10	93075958	93076096	10_93075958_93076096	21.0241787474402	0.0972140523103224	0.628040330693598	0.841286019466082	ENSMUSG00000020014.17	Cfap54	intron	ENSMUSG00000020014.17	Intron (ENSMUST00000168110/ENSMUSG00000020014, intron 1 of 66)	10	93035419	93081596	46178	2	ENSMUST00000168617	5500	ENSMUSG00000020014	ENSMUSG00000020014
chr10	86300383	86300664	10_86300383_86300664	73.6616532242973	-0.11786329287936	0.560760062719046	0.805215875211637	ENSMUSG00000059602.14	Syn3	promoter-TSS	ENSMUSG00000020044.13	Promoter (<=1kb)	10	86300554	86306781	6228	1	ENSMUST00000151134	0	ENSMUSG00000020044	ENSMUSG00000020044
chr10	59773597	59773726	10_59773597_59773726	9.4522114798484	0.171437332572083	0.209865917573452	0.532327250660654	ENSMUSG00000020111.15	Micu1	intron	ENSMUSG00000020111.15	Intron (ENSMUST00000165563/ENSMUSG00000020111, intron 6 of 11)	10	59762413	59789036	26624	1	ENSMUST00000172034	11185	ENSMUSG00000020111	ENSMUSG00000020111
chr11	11820351	11820489	11_11820351_11820489	48.2528628401011	0.253078368141798	0.234593316882971	0.557495156985257	ENSMUSG00000020182.16	Ddc	intron	ENSMUSG00000020182.16	Promoter (2-3kb)	11	11814103	11822921	8819	2	ENSMUST00000136810	2432	ENSMUSG00000020182	ENSMUSG00000020182
chr4	145025236	145025629	4_145025236_145025629	71.7761846422966	0.0358548249729318	0.860480538123299	0.949339777164276	ENSMUSG00000020220.16	Vps13d	intron	ENSMUSG00000020220.16	Intron (ENSMUST00000130704/ENSMUSG00000020220, intron 20 of 23)	4	145016759	145051034	34276	2	ENSMUST00000144835	25405	ENSMUSG00000020220	ENSMUSG00000020220
chr11	32267565	32267763	11_32267565_32267763	98.7067637791343	0.143293401054083	0.449966443709451	0.732552722328018	ENSMUSG00000020289.15	Nprl3	promoter-TSS	ENSMUSG00000020289.15	Promoter (<=1kb)	11	32225628	32267689	42062	2	ENSMUST00000124640	0	ENSMUSG00000020289	ENSMUSG00000020289
chr11	51606791	51607070	11_51606791_51607070	198.457118549655	0.147205228259226	0.358338354902063	0.667559224680627	ENSMUSG00000020358.17	Hnrnpab	promoter-TSS	ENSMUSG00000020358.17	Promoter (<=1kb)	11	51600100	51606847	6748	2	ENSMUST00000074669	0	ENSMUSG00000020358	ENSMUSG00000020358
chr11	29692606	29693003	11_29692606_29693003	382.315193719997	0.0581424575011157	0.628307358887534	0.841462540806972	ENSMUSG00000020458.16	Rtn4	promoter-TSS	ENSMUSG00000020458.16	Promoter (<=1kb)	11	29692947	29742916	49970	1	ENSMUST00000102842	0	ENSMUSG00000020458	ENSMUSG00000020458
chr11	59525338	59525557	11_59525338_59525557	53.5479601276539	0.178446039686854	0.395287055172193	0.69490278786571	ENSMUSG00000020472.14	Zkscan17	TTS	ENSMUSG00000020472.14	Promoter (1-2kb)	11	59504167	59526631	22465	2	ENSMUST00000139093	1074	ENSMUSG00000020472	ENSMUSG00000020472
chr11	84880266	84880423	11_84880266_84880423	48.3688586824158	0.0129336496536901	0.951465705483765	0.983108804096698	ENSMUSG00000020527.14	Myo19	promoter-TSS	ENSMUSG00000020527.14	Promoter (<=1kb)	11	84880310	84881003	694	1	ENSMUST00000124475	0	ENSMUSG00000020527	ENSMUSG00000020527
chr12	8771236	8771438	12_8771236_8771438	56.3667568576748	-0.224869613753214	0.289090726060467	0.612333969592373	ENSMUSG00000020592.14	Sdc1	promoter-TSS	ENSMUSG00000020592.14	Promoter (<=1kb)	12	8771323	8793715	22393	1	ENSMUST00000020911	0	ENSMUSG00000020592	ENSMUSG00000020592
chr12	8547453	8547582	12_8547453_8547582	30.7984766712544	-0.259788003529914	0.219325503312549	0.54226593199388	ENSMUSG00000020600.13	Slc7a15	intron	ENSMUSG00000020600.13	Intron (ENSMUST00000036938/ENSMUSG00000020600, intron 2 of 6)	12	8538201	8539566	1366	2	ENSMUST00000129465	-7888	ENSMUSG00000020600	ENSMUSG00000020600
chr12	24831203	24831635	12_24831203_24831635	351.886103586746	0.0707232681128197	0.582640029810397	0.818353074944211	ENSMUSG00000020646.17	Mboat2	promoter-TSS	ENSMUSG00000020646.17	Promoter (<=1kb)	12	24831599	24960301	128703	1	ENSMUST00000078902	0	ENSMUSG00000020646	ENSMUSG00000020646
chr11	82781041	82781213	11_82781041_82781213	46.1907873899823	-0.0893161139594484	0.674044948481439	0.865724741324787	ENSMUSG00000085175.7	RP23-316C11.7	promoter-TSS	ENSMUSG00000085175.7	Promoter (<=1kb)	11	82781108	82802862	21755	1	ENSMUST00000092849	0	ENSMUSG00000020697	ENSMUSG00000020697
chr11	82764174	82764437	11_82764174_82764437	63.4577835473105	-0.0917073356136126	0.657859645091018	0.856602752406285	ENSMUSG00000046010.7	Zfp830	promoter-TSS	ENSMUSG00000046010.7	Promoter (<=1kb)	11	82719250	82764306	45057	2	ENSMUST00000021040	0	ENSMUSG00000020698	ENSMUSG00000020698
chr11	78465990	78466155	11_78465990_78466155	22.0191171708894	0.153702942917514	0.437799581876624	0.725726368379002	ENSMUSG00000020829.9	Slc46a1	intron	ENSMUSG00000020829.9	Promoter (<=1kb)	11	78465932	78471622	5691	1	ENSMUST00000146431	59	ENSMUSG00000020829	ENSMUSG00000020829
chr11	76911969	76912188	11_76911969_76912188	44.4373750426725	0.161479982015853	0.447468923719632	0.730545931620204	ENSMUSG00000020839.16	Tmigd1	intron	ENSMUSG00000020839.16	Intron (ENSMUST00000102495/ENSMUSG00000020839, intron 4 of 6)	11	76904562	76916097	11536	1	ENSMUST00000136899	7408	ENSMUSG00000020839	ENSMUSG00000020839
chr11	76945551	76945773	11_76945551_76945773	44.6554394734751	0.113024962837207	0.595970711287841	0.825702431267841	ENSMUSG00000020840.10	Blmh	promoter-TSS	ENSMUSG00000020840.10	Promoter (<=1kb)	11	76945729	76946758	1030	1	ENSMUST00000155867	0	ENSMUSG00000020840	ENSMUSG00000020840
chr11	95392264	95392424	11_95392264_95392424	32.7259826391392	0.0188840847958142	0.929323116930871	0.975408354247225	ENSMUSG00000020873.14	Slc35b1	TTS	ENSMUSG00000020873.14	Promoter (2-3kb)	11	95389985	95390653	669	1	ENSMUST00000143090	2280	ENSMUSG00000020873	ENSMUSG00000020873
chr11	70021240	70021703	11_70021240_70021703	210.7657936201	0.106100387822939	0.486385251205321	0.757673905025176	ENSMUSG00000020886.17	Dlg4	intron	ENSMUSG00000020886.17	Promoter (2-3kb)	11	70023905	70031131	7227	1	ENSMUST00000124568	-2202	ENSMUSG00000020886	ENSMUSG00000020886
chr12	104852087	104852321	12_104852087_104852321	58.5560362129469	0.205166992905387	0.323722634488743	0.639628565598404	ENSMUSG00000021097.15	Clmn	intron	ENSMUSG00000021097.15	Intron (ENSMUST00000109936/ENSMUSG00000021097, intron 1 of 12)	12	104763114	104865076	101963	2	ENSMUST00000109936	12755	ENSMUSG00000021097	ENSMUSG00000021097
chr12	80945340	80945586	12_80945340_80945586	137.100176033743	0.0173847383577982	0.923312055141636	0.973624737468422	ENSMUSG00000021134.17	Srsf5	promoter-TSS	ENSMUSG00000021134.17	Promoter (<=1kb)	12	80945504	80950507	5004	1	ENSMUST00000094693	0	ENSMUSG00000021134	ENSMUSG00000021134
chr12	80945944	80946330	12_80945944_80946330	203.973638247015	0.0720027973397635	0.642327798785304	0.848887938533678	ENSMUSG00000112880.1	RP23-168F21.4	promoter-TSS	ENSMUSG00000021134.17	Promoter (<=1kb)	12	80946376	80950497	4122	1	ENSMUST00000151036	-46	ENSMUSG00000021134	ENSMUSG00000021134
chr12	84772837	84773324	12_84772837_84773324	385.346725612148	-0.0444793264558143	0.710449283497355	0.884321556000359	ENSMUSG00000021241.7	Isca2	promoter-TSS	ENSMUSG00000021241.7	Promoter (<=1kb)	12	84773270	84775089	1820	1	ENSMUST00000021667	0	ENSMUSG00000021241	ENSMUSG00000021241
chr13	47043128	47043631	13_47043128_47043631	315.340947912339	-0.148417785180452	0.266593638127383	0.59252025349987	ENSMUSG00000038080.17	Kdm1b	promoter-TSS	ENSMUSG00000021376.11	Promoter (<=1kb)	13	47025170	47043210	18041	2	ENSMUST00000021806	0	ENSMUSG00000021376	ENSMUSG00000021376
chr13	64432181	64432582	13_64432181_64432582	272.531869107099	0.101111559038278	0.473259625101151	0.748463545891795	ENSMUSG00000021483.8	Cdk20	promoter-TSS	ENSMUSG00000021483.8	Promoter (<=1kb)	13	64432553	64439720	7168	1	ENSMUST00000021939	0	ENSMUSG00000021483	ENSMUSG00000021483
chr13	100001932	100002072	13_100001932_100002072	25.5855079400461	-0.129178964265007	0.525026816549993	0.78346329415741	ENSMUSG00000021646.9	Mccc2	TTS	ENSMUSG00000021646.9	Intron (ENSMUST00000022148/ENSMUSG00000021646, intron 1 of 16)	13	99948533	100015639	67107	2	ENSMUST00000022148	13567	ENSMUSG00000021646	ENSMUSG00000021646
chr13	96407194	96407372	13_96407194_96407372	38.4317175176028	-0.137712242813055	0.518432346495917	0.778965234782849	ENSMUSG00000021671.9	Poc5	intron	ENSMUSG00000021671.9	Intron (ENSMUST00000099295/ENSMUSG00000021671, intron 11 of 12)	13	96388294	96415587	27294	1	ENSMUST00000099295	18901	ENSMUSG00000021671	ENSMUSG00000021671
